fixture,repeat,profile,origin,runStatus,failureClass,propositionCore,claimText,articleRole,articleUse,assertionSource,sourceProposition,articleResponse,articleResponseUnitIds,articleResponseGroundingText,assertionSourceKind,assertionSourceName,ifSupportedEffect,ifRefutedEffect,scoreTransformCheck,expectedTransform,transformConsistent,materiality,scope,relatedPillarLabels,sourceUnitIds,groundingText,verificationTarget,disputedProposition,stipulatedByArticle,whyThisTarget,warrant,supportCriteria,refuteCriteria,qualifyCriteria,mustMatch,rejectIfOnly_model,rejectIfOnly_host,sourceStrategy_emitted,sourceStrategy_resolved,searchConcepts,relevantNamedWorkIds,cautions,packageValid
CF1-F03,1,Set X,model,completed,,,Parents are increasingly seeking vaccine exemptions for their children due to concerns about vaccine safety.,pillar,endorsed,Ana Wolpin,,,,,,,strengthens,weakens,normal,normal,true,high,vaccine exemptions in the U.S.,Pillar 1,U0014,"[U0014] Along with reduction in vaccine uptake, there is also a rise in the rate of parents seeking vaccine exemptions for their children.",substantive,Parents are increasingly seeking vaccine exemptions for their children due to concerns about vaccine safety.,,The dispute is whether the increase in vaccine exemptions is indeed due to concerns about vaccine safety.,,Statistical evidence showing an increase in vaccine exemptions in the U.S.,Statistical evidence showing no increase in vaccine exemptions or that exemptions are not due to safety concerns.,Evidence showing that some parents seek exemptions for reasons other than safety concerns.,vaccine exemptions | concerns about vaccine safety | U.S. population | recent statistics,Restating the claim without providing statistical evidence | Discussing vaccine exemptions without linking to safety concerns,,primary_article_result,primary_article_result,vaccine exemptions | vaccine safety concerns,,,true
CF1-F03,1,Set X,model,completed,,,The claims made in public health advertisements about vaccines are misleading and lack credible scientific support.,pillar,endorsed,Ana Wolpin,,,,,,,strengthens,weakens,normal,normal,true,high,public health advertisements,Pillar 2,U0015 | U0027,"[U0015] In Part 1 of this article, we will explore the growing awareness causing this shift, share some local history on attempts to open up the conversation about vaccines in our community, and examine some of the statements above that our health department has made to reassure parents that they needn’t worry about common vaccination concerns.
[U0027] As this article will show, the claims made in our health department’s ad repeat medical dogma that has persisted for decades with no basis in reality.",substantive,The claims made in public health advertisements about vaccines are misleading and lack credible scientific support.,,The dispute is whether the claims in public health advertisements are indeed misleading and lack credible support.,,Independent research confirming misleading claims in public health advertisements about vaccines.,Independent research showing that claims in public health advertisements are accurate and supported by credible science.,Evidence showing that some claims in advertisements may be accurate or supported by some scientific evidence.,public health advertisements | credibility of scientific support | misleading claims,Restating the claim without providing independent research | Discussing public health advertisements without addressing their credibility,,primary_article_result,primary_article_result,public health advertisements | vaccine claims | scientific support,,,true
CF1-F03,1,Set X,model,completed,,,"The CDC manipulated data to disprove a link between vaccines and autism, as revealed by whistleblower William Thompson.",pillar,endorsed,William Thompson,,,,,,,strengthens,weakens,normal,normal,true,high,CDC's handling of vaccine-autism data,Pillar 3,U0037 | U0041,"[U0037] Senior CDC scientist turned whistleblower William Thompson revealed privately in 2014 that data linking the MMR vaccine (measles/mumps/rubella) to autism had been manipulated by the agency ten years earlier.
[U0041] The fraudulent, re-worked study was then released to declare that it had proven MMR vaccines did not cause autism.",substantive,"The CDC manipulated data to disprove a link between vaccines and autism, as revealed by whistleblower William Thompson.",,The dispute is whether the CDC indeed manipulated data regarding vaccines and autism.,,Evidence from whistleblower accounts confirming data manipulation by the CDC.,Evidence showing that the CDC did not manipulate data regarding vaccines and autism.,Evidence showing that data manipulation claims are based on misinterpretations or are not substantiated.,CDC data manipulation | vaccines and autism link | whistleblower accounts,Restating the claim without providing whistleblower evidence | Discussing the CDC without addressing the specific manipulation of data,,primary_article_result,primary_article_result,CDC data manipulation | vaccines autism | William Thompson,,,true
CF1-F03,1,Set X,model,completed,,,"The 1986 National Childhood Vaccine Injury Act removed liability from vaccine manufacturers, leading to increased vaccine-related injuries.",pillar,endorsed,Ana Wolpin,,,,,,,strengthens,weakens,normal,normal,true,high,vaccine manufacturers' liability,Pillar 4,U0068 | U0070,"[U0068] The first shock for anyone just beginning this research was learning about the 1986 National Childhood Vaccine Injury Act.
[U0070] Bowing to the pressure, in 1986 Congress removed all liability from drug companies for childhood vaccines they produced.",substantive,"The 1986 National Childhood Vaccine Injury Act removed liability from vaccine manufacturers, leading to increased vaccine-related injuries.",,The dispute is whether the removal of liability indeed led to an increase in vaccine-related injuries.,,Legislative history showing the removal of liability and subsequent statistics on vaccine-related injuries.,Evidence showing that the removal of liability did not lead to an increase in vaccine-related injuries.,Evidence showing that other factors contributed to vaccine-related injuries.,1986 National Childhood Vaccine Injury Act | vaccine manufacturers' liability | vaccine-related injuries,Restating the claim without providing legislative history or injury statistics | Discussing vaccine injuries without linking to the 1986 Act,,primary_article_result,named_work_result,National Childhood Vaccine Injury Act | vaccine liability | vaccine injuries,NW001,,true
CF1-F03,1,Set X,model,completed,,,There is a significant increase in chronic health conditions among vaccinated children since the 1986 act.,pillar,endorsed,Ana Wolpin,,,,,,,strengthens,weakens,normal,normal,true,high,chronic health conditions in vaccinated children,Pillar 5,U0079 | U0086 | U0087 | U0090,"[U0079] While children had received just five vaccine doses in three shots in the 1950s and ’60s when I was growing up (none during pregnancy or in the first 12 months of life), by 1986 children were receiving 25 doses/12 shots.
[U0086] It was a rude awakening, especially for those of us in the Baby Boomer generation, to learn that the chronic illness rate in U.S. children which had been negligible when we were kids had jumped to 12.8% in the 1980s, then to 54% by 2011 .
[U0087] More than one in two American children in the 2011 survey had a diagnosed chronic health condition such as an autoimmune disorder, diabetes or obesity, a neurodevelopmental disorder, or a mood or behavioral disorder.
[U0090] But after embarking on the world’s most aggressive vaccination program, the U.S. had twice as many first-day infant deaths as all 27 EU nations combined .",substantive,There is a significant increase in chronic health conditions among vaccinated children since the 1986 act.,,The dispute is whether there has indeed been a significant increase in chronic health conditions among vaccinated children.,,Health statistics showing a significant increase in chronic health conditions among vaccinated children since 1986.,Health statistics showing no significant increase in chronic health conditions among vaccinated children.,Evidence showing that the increase in chronic health conditions is not solely attributable to vaccination.,chronic health conditions | vaccinated children | statistics since 1986,Restating the claim without providing health statistics | Discussing chronic health conditions without linking to vaccination status,,primary_article_result,primary_article_result,chronic health conditions | vaccinated children | health statistics,,,true
CF1-F03,1,Set X,model,completed,,,The CDC's narrative about vaccines being safe and effective is based on misinformation and lacks scientific backing.,pillar,endorsed,Ana Wolpin,,,,,,,strengthens,weakens,normal,normal,true,high,CDC's vaccine safety narrative,Pillar 2,U0015 | U0019 | U0023 | U0027,"[U0015] In Part 1 of this article, we will explore the growing awareness causing this shift, share some local history on attempts to open up the conversation about vaccines in our community, and examine some of the statements above that our health department has made to reassure parents that they needn’t worry about common vaccination concerns.
[U0019] He has prosecuted over a hundred lawsuits against health agencies, successfully suing the FDA to release Pfizer and Moderna’s Covid-19 vaccine licensure documents, winning many cases restoring medical exemptions including for the U.S. military, and forcing transparency when the CDC refused to release hidden V-safe data tracking adverse reactions to the Covid-19 shots.
[U0023] • The “Vaccines Amen” crowd. For these believers , the story that vaccines are a modern medical miracle — safe and effective! — is a sacred cow. “This is the group of parents, doctors and public health professionals—a small army of them—who have a fervent belief in vaccines,” says Siri. “When these beliefs are challenged, this crowd gets angry.”
[U0027] As this article will show, the claims made in our health department’s ad repeat medical dogma that has persisted for decades with no basis in reality.",substantive,The CDC's narrative about vaccines being safe and effective is based on misinformation and lacks scientific backing.,,The dispute is whether the CDC's narrative is indeed based on misinformation and lacks scientific support.,,Scientific literature contradicting the CDC's narrative on vaccine safety and efficacy.,Scientific literature supporting the CDC's narrative on vaccine safety and efficacy.,Evidence showing that some aspects of the CDC's narrative may be accurate or supported by some scientific evidence.,CDC narrative | vaccine safety and efficacy | scientific literature,Restating the claim without providing scientific literature | Discussing the CDC without addressing the narrative's credibility,,primary_article_result,primary_article_result,CDC vaccine narrative | vaccine safety | scientific support,,,true
CF1-F03,1,Set X,model,completed,,,The CDC has not conducted adequate safety testing on the cumulative aluminum load in vaccines.,pillar,endorsed,Ana Wolpin,,,,,,,strengthens,weakens,normal,normal,true,high,safety testing of aluminum in vaccines,Pillar 4,U0258 | U0286,"[U0258] Safety limits were now set for neonates at 4-5 mcg per kilogram of body weight, limited to  25  mcg aluminum per day (by regulation 21 CFR 201.323).
[U0286] “FDA regulations require safety testing of constituent ingredients in drugs (21 CFR 610.15). With the exception of extraneous proteins, no component safety testing is required for vaccines or vaccine schedules. The dosing of aluminum in vaccines is based on the production of antibody titers, not safety science .”",substantive,The CDC has not conducted adequate safety testing on the cumulative aluminum load in vaccines.,,The dispute is whether the CDC has indeed conducted adequate safety testing on aluminum in vaccines.,,Evidence showing inadequate safety testing protocols for aluminum in vaccines.,Evidence showing that the CDC has conducted adequate safety testing on aluminum in vaccines.,Evidence showing that some safety testing has been conducted but may not be comprehensive.,CDC safety testing | aluminum in vaccines | safety protocols,Restating the claim without providing evidence of testing protocols | Discussing aluminum without linking to safety testing,,primary_article_result,primary_article_result,CDC aluminum safety testing | vaccine safety protocols,,,true
CF1-F03,1,Set X,model,completed,,,The CDC's assertion that thimerosal is not harmful is contradicted by scientific evidence showing its neurotoxicity.,pillar,endorsed,Ana Wolpin,,,,,,,strengthens,weakens,normal,normal,true,high,thimerosal safety in vaccines,Pillar 2,U0022 | U0301 | U0310 | U0324,"[U0022] • Parents who do vaccinate. Almost all “have never really thought much about these products… they just go with the flow,” says Siri. “They often do what the media says good parents are expected to do—trust their doctors.” They are, however, open-minded and able to process new information. He finds that their “views are susceptible to change upon presentation of actual evidence.”
[U0301] “[Thimerosal] is toxic… Mutagenic in mammalian cells.“
[U0310] Contrary to our health department’s claim, it is highly neurotoxic — dangerous enough to cause “decreased offspring survival” as Eli Lilly was required by law to disclose in its Material Safety Data Sheet for thimerosal.
[U0324] Our health department tells us that thimerosal “is NOT harmful to us,” while also assuring us that it’s not in childhood vaccines.",substantive,The CDC's assertion that thimerosal is not harmful is contradicted by scientific evidence showing its neurotoxicity.,,The dispute is whether the CDC's assertion about thimerosal is indeed contradicted by scientific evidence.,,Scientific evidence showing the neurotoxicity of thimerosal.,Scientific evidence supporting the CDC's assertion that thimerosal is not harmful.,Evidence showing that thimerosal may be harmful in certain contexts but not universally.,CDC assertion | thimerosal neurotoxicity | scientific evidence,Restating the claim without providing scientific evidence | Discussing thimerosal without addressing the CDC's assertion,,primary_article_result,primary_article_result,thimerosal safety | CDC thimerosal claim | neurotoxicity evidence,,,true
CF1-F03,1,Set X,model,completed,,,"Half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated.",opponent_claim,reported,CDC,,,,,,,weakens,strengthens,normal,invert,false,high,American school children and toddlers,Pillar 1,U0002,"[U0002] “According to the CDC and public health authorities, parents who choose not to vaccinate their children are typically highly educated. CDC data reflect that half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated. Why would the parents of these children, comprising a large part of the nation’s brain trust, choose not to vaccinate their children?”",substantive,"Half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated.",,The dispute is whether the statistics regarding vaccination rates among school children and toddlers are accurate.,,CDC statistics confirming that half of American school children are not fully vaccinated.,CDC statistics showing that a higher percentage of American school children are fully vaccinated.,Evidence showing that the statistics may vary by region or demographic.,vaccination rates | American school children | toddlers,Restating the claim without providing CDC statistics | Discussing vaccination rates without addressing the specific statistics mentioned,,primary_article_result,primary_article_result,CDC vaccination statistics | school children vaccination rates,,,true
CF1-F03,1,Set X,model,completed,,,The rise in vaccine hesitancy is a response to the perceived lack of transparency and accountability from health authorities.,pillar,endorsed,Ana Wolpin,,,,,,,strengthens,weakens,normal,normal,true,medium,vaccine hesitancy trends,Pillar 2,U0015 | U0019 | U0027 | U0403 | U0404,"[U0015] In Part 1 of this article, we will explore the growing awareness causing this shift, share some local history on attempts to open up the conversation about vaccines in our community, and examine some of the statements above that our health department has made to reassure parents that they needn’t worry about common vaccination concerns.
[U0019] He has prosecuted over a hundred lawsuits against health agencies, successfully suing the FDA to release Pfizer and Moderna’s Covid-19 vaccine licensure documents, winning many cases restoring medical exemptions including for the U.S. military, and forcing transparency when the CDC refused to release hidden V-safe data tracking adverse reactions to the Covid-19 shots.
[U0027] As this article will show, the claims made in our health department’s ad repeat medical dogma that has persisted for decades with no basis in reality.
[U0403] Finally, we’ll take a look at the rise in vaccine hesitancy that may have provoked JCPH’s creation of this ad, and at challenges being made to the CDC’s current childhood vaccine schedule.
[U0404] Efforts to rein in pharma’s capture of health agencies, medical groups and the vaccine narrative are causing a pitched battle, and the institutions entrenched in the religion of vaccines are doubling down to maintain their control.",substantive,The rise in vaccine hesitancy is a response to the perceived lack of transparency and accountability from health authorities.,,The dispute is whether the rise in vaccine hesitancy is indeed linked to perceptions of transparency and accountability.,,Surveys showing a correlation between vaccine hesitancy and perceptions of transparency from health authorities.,Surveys showing that vaccine hesitancy is not linked to perceptions of transparency and accountability.,Evidence showing that other factors also contribute to vaccine hesitancy.,vaccine hesitancy | transparency from health authorities | public perception,Restating the claim without providing survey evidence | Discussing vaccine hesitancy without linking to transparency perceptions,,primary_article_result,primary_article_result,vaccine hesitancy | transparency accountability | public perception surveys,,,true
