fixture,repeat,profile,origin,runStatus,failureClass,propositionCore,claimText,articleRole,articleUse,assertionSource,assertionSourceKind,assertionSourceName,ifSupportedEffect,ifRefutedEffect,scoreTransformCheck,expectedTransform,transformConsistent,materiality,scope,relatedPillarLabels,sourceUnitIds,groundingText,verificationTarget,disputedProposition,stipulatedByArticle,whyThisTarget,warrant,supportCriteria,refuteCriteria,qualifyCriteria,mustMatch,rejectIfOnly_model,rejectIfOnly_host,sourceStrategy_emitted,sourceStrategy_resolved,searchConcepts,relevantNamedWorkIds,cautions,packageValid
CF1-F03,1,Set E2 + C2,model,completed,,The claims made in public health advertisements about vaccines often repeat medical dogma that lacks a basis in reality.,The claims made in public health advertisements about vaccines often repeat medical dogma that lacks a basis in reality.,pillar,endorsed,Ana Wolpin,,,strengthens,weakens,normal,normal,true,high,public health advertisements,Pillar 1,U0027 | U0028,"[U0027] As this article will show, the claims made in our health department’s ad repeat medical dogma that has persisted for decades with no basis in reality.
[U0028] At best the narrative is a wishful fairy tale.",substantive,The claims made in public health advertisements about vaccines often repeat medical dogma that lacks a basis in reality.,,The dispute is whether the claims made in public health advertisements about vaccines are based on reality.,,Evidence showing that public health advertisements about vaccines repeat unfounded medical claims.,Evidence demonstrating that public health advertisements about vaccines are based on credible scientific data.,Evidence indicating that some public health advertisements may contain accurate information about vaccines.,public health advertisements | claims about vaccines | medical dogma | evidence of reality,Restating the article or quoted allegation without new evidence. | Discussing the topic of vaccines without addressing the specific claims made in advertisements.,,primary_article_result,primary_article_result,public health advertisements | vaccine claims | medical dogma,,,true
CF1-F03,1,Set E2 + C2,model,completed,,The rise in vaccine exemptions and hesitancy correlates with increasing awareness of potential vaccine-related injuries and the lack of accountability for pharmaceutical companies.,The rise in vaccine exemptions and hesitancy correlates with increasing awareness of potential vaccine-related injuries and the lack of accountability for pharmaceutical companies.,pillar,endorsed,Ana Wolpin,,,strengthens,weakens,normal,normal,true,high,vaccine exemptions and hesitancy,Pillar 2,U0013 | U0014 | U0070 | U0071,"[U0013] The health department’s ad comes at a time when childhood vaccination rates are dropping steadily across the country.
[U0014] Along with reduction in vaccine uptake, there is also a rise in the rate of parents seeking vaccine exemptions for their children.
[U0070] Bowing to the pressure, in 1986 Congress removed all liability from drug companies for childhood vaccines they produced.
[U0071] This get-out-of-jail-free card, eliminating industry responsibility for safety, was unprecedented.",substantive,The rise in vaccine exemptions and hesitancy correlates with increasing awareness of potential vaccine-related injuries and the lack of accountability for pharmaceutical companies.,,The dispute is whether the correlation between vaccine exemptions and awareness of vaccine-related injuries is substantiated.,,Data showing a direct correlation between the rise in vaccine exemptions and increased public awareness of vaccine-related injuries.,Data indicating no correlation between vaccine exemptions and awareness of vaccine-related injuries.,Evidence suggesting that the correlation may only apply to specific demographics or regions.,vaccine exemptions | public awareness of vaccine-related injuries | correlation evidence,Restating the article or quoted allegation without new evidence. | Discussing vaccine hesitancy without addressing the correlation to awareness of injuries.,,primary_article_result,primary_article_result,vaccine exemptions | vaccine hesitancy | vaccine-related injuries,,,true
CF1-F03,1,Set E2 + C2,model,completed,,"Censorship and suppression of dissenting views regarding vaccines are prevalent, impacting public discourse and informed consent.","Censorship and suppression of dissenting views regarding vaccines are prevalent, impacting public discourse and informed consent.",pillar,endorsed,Ana Wolpin,,,strengthens,weakens,normal,normal,true,high,censorship of vaccine discourse,Pillar 3,U0062 | U0155 | U0160,"[U0062] Self-appointed community gatekeeper Owen Rowe demonstrated the epitome of the angry zealotry that Siri describes.
[U0155] The reason: correlation does not imply causation.”
[U0160] Stephen Schumacher (also a PTFP co-editor now) would experience the same censorship several years later regarding the experimental mRNA Covid vaccines.",substantive,"Censorship and suppression of dissenting views regarding vaccines are prevalent, impacting public discourse and informed consent.",,The dispute is whether there is substantial evidence of censorship and suppression of dissenting views on vaccines.,,Instances of documented censorship regarding vaccine discussions.,Evidence showing that dissenting views on vaccines are freely expressed and not suppressed.,"Evidence indicating that while some censorship exists, it may not be widespread or impactful.",censorship of vaccine discourse | suppression of dissenting views | impact on public discourse,Restating the article or quoted allegation without new evidence. | Discussing censorship in general without specific reference to vaccines.,,primary_article_result,primary_article_result,censorship | vaccine discourse | dissenting views,,,true
CF1-F03,1,Set E2 + C2,model,completed,,"The 1986 National Childhood Vaccine Injury Act removed liability from vaccine manufacturers, leading to increased vaccine production without adequate safety testing.","The 1986 National Childhood Vaccine Injury Act removed liability from vaccine manufacturers, leading to increased vaccine production without adequate safety testing.",pillar,endorsed,Ana Wolpin,,,strengthens,weakens,normal,normal,true,high,liability and vaccine safety testing,Pillar 4,U0070 | U0071 | U0080,"[U0070] Bowing to the pressure, in 1986 Congress removed all liability from drug companies for childhood vaccines they produced.
[U0071] This get-out-of-jail-free card, eliminating industry responsibility for safety, was unprecedented.
[U0080] In the decades following the 1986 act the childhood schedule exploded to 73 doses/54 shots.",substantive,"The 1986 National Childhood Vaccine Injury Act removed liability from vaccine manufacturers, leading to increased vaccine production without adequate safety testing.",,The dispute is whether the removal of liability has indeed led to increased vaccine production without proper safety testing.,,Historical data showing an increase in vaccine production following the 1986 Act.,Evidence indicating that vaccine production has maintained safety testing standards post-1986.,"Evidence suggesting that while liability was removed, some manufacturers still adhere to safety testing protocols.",1986 National Childhood Vaccine Injury Act | vaccine production data | safety testing standards,Restating the article or quoted allegation without new evidence. | Discussing vaccine safety without addressing the specific impact of the 1986 Act.,,primary_article_result,named_work_result,Vaccine Injury Act | vaccine production | safety testing,NW001,,true
CF1-F03,1,Set E2 + C2,model,completed,,"The presence of toxic substances in vaccines, such as aluminum and mercury, raises significant health concerns that are often downplayed by health authorities.","The presence of toxic substances in vaccines, such as aluminum and mercury, raises significant health concerns that are often downplayed by health authorities.",pillar,endorsed,Ana Wolpin,,,strengthens,weakens,normal,normal,true,high,toxicity of vaccine ingredients,Pillar 5,U0245 | U0308 | U0370,"[U0245] Folks SHOULD be nervous about aluminum being used in vaccines.
[U0308] Mercury is the third most toxic element on earth, 500 times more poisonous than lead.
[U0370] Thimerosal as a Vaccine Preservative , a summary prepared in 2025 for the CDC’s Advisory Committee for Immunization Practices (ACIP), notes that “thimerosal-containing vaccines exceed the TCLP threshold by orders of magnitude and are classified as D009 Hazardous Waste.”",substantive,"The presence of toxic substances in vaccines, such as aluminum and mercury, raises significant health concerns that are often downplayed by health authorities.",,The dispute is whether the health concerns regarding toxic substances in vaccines are valid and downplayed.,,Research indicating health risks associated with aluminum and mercury in vaccines.,Evidence showing that aluminum and mercury in vaccines are safe and not a health concern.,"Evidence suggesting that while there are concerns, they may not apply to all vaccines or populations.",toxic substances in vaccines | health concerns | aluminum | mercury,Restating the article or quoted allegation without new evidence. | Discussing vaccine toxicity in general without specific reference to aluminum and mercury.,,primary_article_result,primary_article_result,toxic substances | vaccine safety | aluminum | mercury,,,true
CF1-F03,1,Set E2 + C2,model,completed,,The increase in chronic health conditions among children correlates with the rise in vaccination rates since the 1986 Vaccine Injury Act.,The increase in chronic health conditions among children correlates with the rise in vaccination rates since the 1986 Vaccine Injury Act.,pillar,endorsed,Ana Wolpin,,,strengthens,weakens,normal,normal,true,high,chronic health conditions and vaccination rates,Pillar 4,U0086 | U0090,"[U0086] It was a rude awakening, especially for those of us in the Baby Boomer generation, to learn that the chronic illness rate in U.S. children which had been negligible when we were kids had jumped to 12.8% in the 1980s, then to 54% by 2011 .
[U0090] But after embarking on the world’s most aggressive vaccination program, the U.S. had twice as many first-day infant deaths as all 27 EU nations combined .",substantive,The increase in chronic health conditions among children correlates with the rise in vaccination rates since the 1986 Vaccine Injury Act.,,The dispute is whether there is a valid correlation between vaccination rates and chronic health conditions.,,Statistical data showing a correlation between increased vaccination rates and chronic health conditions in children.,Data indicating no correlation between vaccination rates and chronic health conditions.,Evidence suggesting that the correlation may only apply to specific health conditions or demographics.,chronic health conditions | vaccination rates | correlation evidence,Restating the article or quoted allegation without new evidence. | Discussing chronic health conditions without addressing the correlation to vaccination rates.,,primary_article_result,primary_article_result,chronic health conditions | vaccination rates | correlation,,,true
CF1-F03,1,Set E2 + C2,model,completed,,"Public health authorities claim that vaccines are safe and effective, but evidence suggests otherwise, including historical data and whistleblower accounts.","Public health authorities claim that vaccines are safe and effective, but evidence suggests otherwise, including historical data and whistleblower accounts.",opponent_claim,opponent_to_rebut,Ana Wolpin,,,strengthens,weakens,normal,normal,true,high,claims about vaccine safety and efficacy,Pillar 1,U0001 | U0037 | U0041 | U0344,"[U0001] Public Health’s “Truth” About Vaccines
PART 1
by Ana Wolpin | Apr 12, 2026 | General | 33 comments
[U0037] Senior CDC scientist turned whistleblower William Thompson revealed privately in 2014 that data linking the MMR vaccine (measles/mumps/rubella) to autism had been manipulated by the agency ten years earlier.
[U0041] The fraudulent, re-worked study was then released to declare that it had proven MMR vaccines did not cause autism.
[U0344] Instead the CDC “massaged” the data and in 2003 released a reworked, fraudulent version of the study loudly trumpeting that thimerosal did not cause autism and other neurodevelomental problems.",substantive,"Public health authorities claim that vaccines are safe and effective, but evidence suggests otherwise, including historical data and whistleblower accounts.",,The dispute is whether the claims of safety and effectiveness made by public health authorities are substantiated.,,Historical data and whistleblower accounts that contradict claims of vaccine safety and effectiveness.,Evidence supporting the claims of safety and effectiveness made by public health authorities.,"Evidence indicating that while some claims may be valid, there are also significant concerns.",claims of vaccine safety | claims of vaccine effectiveness | historical data | whistleblower accounts,Restating the article or quoted allegation without new evidence. | Discussing vaccine safety without addressing the specific claims made by public health authorities.,,primary_article_result,primary_article_result,vaccine safety | vaccine effectiveness | public health claims,,,true
CF1-F03,1,Set E2 + C2,model,completed,,"The CDC has manipulated data to conceal the risks associated with vaccines, particularly regarding the MMR vaccine and autism.","The CDC has manipulated data to conceal the risks associated with vaccines, particularly regarding the MMR vaccine and autism.",opponent_claim,endorsed,Ana Wolpin,,,strengthens,weakens,normal,normal,true,high,CDC data manipulation,Pillar 1,U0037 | U0041 | U0344,"[U0037] Senior CDC scientist turned whistleblower William Thompson revealed privately in 2014 that data linking the MMR vaccine (measles/mumps/rubella) to autism had been manipulated by the agency ten years earlier.
[U0041] The fraudulent, re-worked study was then released to declare that it had proven MMR vaccines did not cause autism.
[U0344] Instead the CDC “massaged” the data and in 2003 released a reworked, fraudulent version of the study loudly trumpeting that thimerosal did not cause autism and other neurodevelomental problems.",substantive,"The CDC has manipulated data to conceal the risks associated with vaccines, particularly regarding the MMR vaccine and autism.",,The dispute is whether there is credible evidence that the CDC manipulated data regarding vaccine risks.,,Evidence from whistleblower accounts or data analysis indicating manipulation by the CDC.,Evidence showing that CDC data regarding vaccines is accurate and not manipulated.,"Evidence suggesting that while there may be concerns, they do not apply universally to all CDC data.",CDC data | MMR vaccine | data manipulation | autism risks,Restating the article or quoted allegation without new evidence. | Discussing CDC data without addressing the specific claims of manipulation.,,primary_article_result,primary_article_result,CDC manipulation | MMR vaccine | autism,,,true
CF1-F03,1,Set E2 + C2,model,completed,,The narrative that vaccines are a modern medical miracle is a belief system rather than a scientifically validated fact.,The narrative that vaccines are a modern medical miracle is a belief system rather than a scientifically validated fact.,pillar,endorsed,Ana Wolpin,,,strengthens,weakens,normal,normal,true,medium,perception of vaccines,Pillar 1,U0001 | U0027 | U0028 | U0037 | U0041 | U0344,"[U0001] Public Health’s “Truth” About Vaccines
PART 1
by Ana Wolpin | Apr 12, 2026 | General | 33 comments
[U0027] As this article will show, the claims made in our health department’s ad repeat medical dogma that has persisted for decades with no basis in reality.
[U0028] At best the narrative is a wishful fairy tale.
[U0037] Senior CDC scientist turned whistleblower William Thompson revealed privately in 2014 that data linking the MMR vaccine (measles/mumps/rubella) to autism had been manipulated by the agency ten years earlier.
[U0041] The fraudulent, re-worked study was then released to declare that it had proven MMR vaccines did not cause autism.
[U0344] Instead the CDC “massaged” the data and in 2003 released a reworked, fraudulent version of the study loudly trumpeting that thimerosal did not cause autism and other neurodevelomental problems.",substantive,The narrative that vaccines are a modern medical miracle is a belief system rather than a scientifically validated fact.,,The dispute is whether the narrative surrounding vaccines is based on scientific validation.,,Evidence showing that the narrative of vaccines as a miracle is not supported by scientific data.,Evidence supporting the narrative that vaccines are scientifically validated as a medical miracle.,"Evidence suggesting that while the narrative may be popular, it lacks scientific backing.",narrative of vaccines | scientific validation | medical miracle,Restating the article or quoted allegation without new evidence. | Discussing the general perception of vaccines without addressing the specific narrative.,,primary_article_result,primary_article_result,vaccines | medical miracle | scientific validation,,,true
CF1-F03,1,Set E2 + C2,model,completed,,"Parents who choose not to vaccinate their children are often highly educated and scientifically literate, including medical professionals and leading scientists.","Parents who choose not to vaccinate their children are often highly educated and scientifically literate, including medical professionals and leading scientists.",pillar_support,reported,Aaron Siri,,,strengthens,weakens,normal,normal,true,medium,demographics of vaccine-hesitant parents,Pillar 1,U0002 | U0021,"[U0002] “According to the CDC and public health authorities, parents who choose not to vaccinate their children are typically highly educated. CDC data reflect that half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated. Why would the parents of these children, comprising a large part of the nation’s brain trust, choose not to vaccinate their children?”
[U0021] • Parents who do not vaccinate. Parents who choose to forego vaccines, he says, are not only highly educated, but “often scientifically literate. Many are medical professionals. Leading scientists.” He quotes vaccine promoter Emily Brunson, PhD, who acknowledges: “When you look at hesitancy in the U.S., the group who is most likely to purposefully choose to not vaccinate are highly educated. In speaking with them, these are people who have read the primary literature themselves, and they’re correctly interpreting it.”",substantive,"Parents who choose not to vaccinate their children are often highly educated and scientifically literate, including medical professionals and leading scientists.",,The dispute is whether the demographic profile of vaccine-hesitant parents is accurately represented.,,Data showing that a significant proportion of vaccine-hesitant parents are highly educated and scientifically literate.,Evidence indicating that vaccine-hesitant parents do not fit the profile of being highly educated or scientifically literate.,"Evidence suggesting that while some vaccine-hesitant parents are educated, others may not be.",demographics of vaccine-hesitant parents | education level | scientific literacy,Restating the article or quoted allegation without new evidence. | Discussing vaccine hesitancy without addressing the specific demographics of parents.,,primary_article_result,primary_article_result,vaccine hesitancy | parent demographics | education level,,,true
