fixture,repeat,profile,origin,runStatus,failureClass,propositionCore,claimText,articleRole,articleUse,assertionSource,assertionSourceKind,assertionSourceName,ifSupportedEffect,ifRefutedEffect,scoreTransformCheck,expectedTransform,transformConsistent,materiality,scope,relatedPillarLabels,sourceUnitIds,groundingText,verificationTarget,disputedProposition,stipulatedByArticle,whyThisTarget,warrant,supportCriteria,refuteCriteria,qualifyCriteria,mustMatch,rejectIfOnly_model,rejectIfOnly_host,sourceStrategy_emitted,sourceStrategy_resolved,searchConcepts,relevantNamedWorkIds,cautions,packageValid
CF1-F03,1,Set E,model,completed,,The CDC has manipulated data linking vaccines to autism to conceal risks associated with vaccination.,The CDC has manipulated data linking vaccines to autism to conceal risks associated with vaccination.,opponent_claim,endorsed,"William Thompson, CDC whistleblower",,,strengthens,weakens,normal,normal,true,high,The CDC's actions regarding the MMR vaccine and autism.,Pillar 1: Vaccine Safety Concerns | Pillar 4: Censorship and Information Suppression,U0037 | U0041 | U0345,"[U0037] Senior CDC scientist turned whistleblower William Thompson revealed privately in 2014 that data linking the MMR vaccine (measles/mumps/rubella) to autism had been manipulated by the agency ten years earlier.
[U0041] The fraudulent, re-worked study was then released to declare that it had proven MMR vaccines did not cause autism.
[U0345] It’s the same playbook that CDC whistleblower William Thompson exposed decades later regarding the CDC’s study of the MMR vaccine and autism.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,"Aluminum in vaccines is linked to serious health issues, including neurological damage and autism.","Aluminum in vaccines is linked to serious health issues, including neurological damage and autism.",pillar,endorsed,James Lyons-Weiler and Robert Ricketson,,,strengthens,weakens,normal,normal,true,high,The health risks associated with aluminum exposure from vaccines.,Pillar 1: Vaccine Safety Concerns,U0242 | U0255,"[U0242] “Our calculations show that the levels of aluminum suggested by the currently used limits place infants at risk of acute, repeated, and possibly chronic exposures of toxic levels of aluminum in modern vaccine schedules.”
[U0255] Aluminum poisoning has been linked to autism, SIDs, seizures, autoimmune issues, Alzheimers, neurological damage, impaired renal function, demyelinating disorders such as MS, and cancer. [ source ]",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,"Thimerosal, a mercury-based preservative in vaccines, is neurotoxic and linked to autism.","Thimerosal, a mercury-based preservative in vaccines, is neurotoxic and linked to autism.",pillar,endorsed,Gavin de Becker,,,strengthens,weakens,normal,normal,true,high,The effects of thimerosal exposure on neurological development.,Pillar 1: Vaccine Safety Concerns,U0301 | U0364,"[U0301] “[Thimerosal] is toxic… Mutagenic in mammalian cells.“
[U0364] The last review he cites is a meta-analysis:",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,The rise in chronic health conditions among vaccinated children correlates with increased vaccination rates.,The rise in chronic health conditions among vaccinated children correlates with increased vaccination rates.,pillar,endorsed,Article analysis of health statistics,,,strengthens,weakens,normal,normal,true,high,The relationship between vaccination rates and chronic health issues in children.,Pillar 1: Vaccine Safety Concerns,U0086 | U0090,"[U0086] It was a rude awakening, especially for those of us in the Baby Boomer generation, to learn that the chronic illness rate in U.S. children which had been negligible when we were kids had jumped to 12.8% in the 1980s, then to 54% by 2011 .
[U0090] But after embarking on the world’s most aggressive vaccination program, the U.S. had twice as many first-day infant deaths as all 27 EU nations combined .",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,Public health authorities have suppressed information about vaccine risks and adverse effects.,Public health authorities have suppressed information about vaccine risks and adverse effects.,pillar,endorsed,Various sources including whistleblower accounts,,,strengthens,weakens,normal,normal,true,high,The extent of information suppression regarding vaccine safety.,Pillar 4: Censorship and Information Suppression,U0062 | U0156,"[U0062] Self-appointed community gatekeeper Owen Rowe demonstrated the epitome of the angry zealotry that Siri describes.
[U0156] Once again, allowing people to consider varied perspectives and then make up their own minds was not permitted.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,The claim that vaccines are tested more rigorously than other medications is misleading.,The claim that vaccines are tested more rigorously than other medications is misleading.,pillar,endorsed,Article analysis of vaccine testing protocols,,,strengthens,weakens,normal,normal,true,medium,The comparison of vaccine testing to other pharmaceuticals.,Pillar 2: Vaccine Efficacy,U0401,[U0401] Is it true that “vaccines are tested more than any other medicine you could give your kid” ?,,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,Parents who choose not to vaccinate are often highly educated and scientifically literate.,Parents who choose not to vaccinate are often highly educated and scientifically literate.,consistency_hinge,reported,Aaron Siri,,,unchanged,unchanged,none,none,true,medium,Demographics of vaccine-hesitant parents.,,U0021,"[U0021] • Parents who do not vaccinate. Parents who choose to forego vaccines, he says, are not only highly educated, but “often scientifically literate. Many are medical professionals. Leading scientists.” He quotes vaccine promoter Emily Brunson, PhD, who acknowledges: “When you look at hesitancy in the U.S., the group who is most likely to purposefully choose to not vaccinate are highly educated. In speaking with them, these are people who have read the primary literature themselves, and they’re correctly interpreting it.”",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,The increase in vaccine exemptions reflects growing public concern about vaccine safety.,The increase in vaccine exemptions reflects growing public concern about vaccine safety.,pillar,endorsed,Public health data,,,strengthens,weakens,normal,normal,true,medium,Trends in vaccine exemption requests over time.,Pillar 3: Vaccine Exemptions and Hesitancy,U0014,"[U0014] Along with reduction in vaccine uptake, there is also a rise in the rate of parents seeking vaccine exemptions for their children.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,The CDC's childhood vaccination schedule has expanded significantly since the 1986 National Childhood Vaccine Injury Act.,The CDC's childhood vaccination schedule has expanded significantly since the 1986 National Childhood Vaccine Injury Act.,pillar,endorsed,Historical vaccination data,,,unchanged,unchanged,none,none,true,medium,Changes in the vaccination schedule over decades.,,U0079 | U0080,"[U0079] While children had received just five vaccine doses in three shots in the 1950s and ’60s when I was growing up (none during pregnancy or in the first 12 months of life), by 1986 children were receiving 25 doses/12 shots.
[U0080] In the decades following the 1986 act the childhood schedule exploded to 73 doses/54 shots.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,The narrative that vaccines are a modern medical miracle is a belief system rather than a scientific fact.,The narrative that vaccines are a modern medical miracle is a belief system rather than a scientific fact.,opponent_claim,endorsed,Aaron Siri,,,strengthens,weakens,normal,normal,true,medium,Cultural perceptions of vaccines.,,U0027,"[U0027] As this article will show, the claims made in our health department’s ad repeat medical dogma that has persisted for decades with no basis in reality.",,,,,,,,,,,,,,,,,
