fixture,repeat,profile,origin,runStatus,failureClass,propositionCore,claimText,articleRole,articleUse,assertionSource,sourceProposition,articleResponse,articleResponseUnitIds,articleResponseGroundingText,assertionSourceKind,assertionSourceName,ifSupportedEffect,ifRefutedEffect,scoreTransformCheck,expectedTransform,transformConsistent,materiality,scope,relatedPillarLabels,sourceUnitIds,groundingText,verificationTarget,disputedProposition,stipulatedByArticle,whyThisTarget,warrant,supportCriteria,refuteCriteria,qualifyCriteria,mustMatch,rejectIfOnly_model,rejectIfOnly_host,sourceStrategy_emitted,sourceStrategy_resolved,searchConcepts,relevantNamedWorkIds,cautions,packageValid
CF1-F03,1,Set E,model,completed,,,"Parents who choose not to vaccinate their children are typically highly educated and scientifically literate, often including medical professionals.",pillar,endorsed,Aaron Siri,"Parents who choose not to vaccinate their children are typically highly educated and scientifically literate, often including medical professionals.",none,,,,,strengthens,weakens,normal,normal,true,high,Parents who choose not to vaccinate their children.,Pillar 1,U0021,"[U0021] • Parents who do not vaccinate. Parents who choose to forego vaccines, he says, are not only highly educated, but “often scientifically literate. Many are medical professionals. Leading scientists.” He quotes vaccine promoter Emily Brunson, PhD, who acknowledges: “When you look at hesitancy in the U.S., the group who is most likely to purposefully choose to not vaccinate are highly educated. In speaking with them, these are people who have read the primary literature themselves, and they’re correctly interpreting it.”",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,,"The CDC manipulated data linking the MMR vaccine to autism, leading to a fraudulent conclusion that vaccines do not cause autism.",opponent_claim,opponent_to_rebut,William Thompson,"The CDC manipulated data linking the MMR vaccine to autism, leading to a fraudulent conclusion that vaccines do not cause autism.",challenges,U0037 | U0041,"[U0037] Senior CDC scientist turned whistleblower William Thompson revealed privately in 2014 that data linking the MMR vaccine (measles/mumps/rubella) to autism had been manipulated by the agency ten years earlier.
[U0041] The fraudulent, re-worked study was then released to declare that it had proven MMR vaccines did not cause autism.",,,weakens,strengthens,invert,invert,true,high,CDC's handling of data regarding MMR vaccine and autism.,Pillar 2,U0037 | U0041,"[U0037] Senior CDC scientist turned whistleblower William Thompson revealed privately in 2014 that data linking the MMR vaccine (measles/mumps/rubella) to autism had been manipulated by the agency ten years earlier.
[U0041] The fraudulent, re-worked study was then released to declare that it had proven MMR vaccines did not cause autism.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,,"The 1986 National Childhood Vaccine Injury Act removed liability from vaccine manufacturers, leading to a lack of accountability for vaccine-related injuries.",pillar,endorsed,Ana Wolpin,"The 1986 National Childhood Vaccine Injury Act removed liability from vaccine manufacturers, leading to a lack of accountability for vaccine-related injuries.",none,,,,,strengthens,weakens,normal,normal,true,high,The implications of the 1986 National Childhood Vaccine Injury Act.,Pillar 3,U0070,"[U0070] Bowing to the pressure, in 1986 Congress removed all liability from drug companies for childhood vaccines they produced.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,,"There is a significant rise in chronic health conditions among vaccinated children, which correlates with increased vaccination rates.",pillar,endorsed,Ana Wolpin,"There is a significant rise in chronic health conditions among vaccinated children, which correlates with increased vaccination rates.",none,,,,,strengthens,weakens,normal,normal,true,high,The correlation between vaccination rates and chronic health conditions in children.,Pillar 4,U0086 | U0090,"[U0086] It was a rude awakening, especially for those of us in the Baby Boomer generation, to learn that the chronic illness rate in U.S. children which had been negligible when we were kids had jumped to 12.8% in the 1980s, then to 54% by 2011 .
[U0090] But after embarking on the world’s most aggressive vaccination program, the U.S. had twice as many first-day infant deaths as all 27 EU nations combined .",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,,"Toxic substances such as aluminum and mercury are present in vaccines, raising concerns about their safety and potential health impacts.",pillar,endorsed,Ana Wolpin,"Toxic substances such as aluminum and mercury are present in vaccines, raising concerns about their safety and potential health impacts.",none,,,,,strengthens,weakens,normal,normal,true,high,The presence of toxic substances in vaccines and their health implications.,Pillar 5,U0245 | U0308,"[U0245] Folks SHOULD be nervous about aluminum being used in vaccines.
[U0308] Mercury is the third most toxic element on earth, 500 times more poisonous than lead.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,,The claims made in public health advertisements about vaccines are based on medical dogma that lacks scientific evidence.,pillar,endorsed,Ana Wolpin,The claims made in public health advertisements about vaccines are based on medical dogma that lacks scientific evidence.,none,,,,,strengthens,weakens,normal,normal,true,medium,The validity of claims made in public health advertisements about vaccines.,Pillar 2,U0027,"[U0027] As this article will show, the claims made in our health department’s ad repeat medical dogma that has persisted for decades with no basis in reality.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,,The rise in vaccine hesitancy is a response to the perceived lack of transparency and accountability from health authorities regarding vaccine safety.,pillar,endorsed,Ana Wolpin,The rise in vaccine hesitancy is a response to the perceived lack of transparency and accountability from health authorities regarding vaccine safety.,none,,,,,strengthens,weakens,normal,normal,true,medium,The relationship between vaccine hesitancy and public trust in health authorities.,Pillar 1,U0404,"[U0404] Efforts to rein in pharma’s capture of health agencies, medical groups and the vaccine narrative are causing a pitched battle, and the institutions entrenched in the religion of vaccines are doubling down to maintain their control.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,,The CDC's assertion that thimerosal is not harmful is contradicted by scientific evidence showing its neurotoxicity.,opponent_claim,opponent_to_rebut,Ana Wolpin,The CDC's assertion that thimerosal is not harmful is contradicted by scientific evidence showing its neurotoxicity.,challenges,U0308,"[U0308] Mercury is the third most toxic element on earth, 500 times more poisonous than lead.",,,weakens,strengthens,invert,invert,true,high,The safety of thimerosal in vaccines and its neurotoxic effects.,Pillar 5,U0308,"[U0308] Mercury is the third most toxic element on earth, 500 times more poisonous than lead.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,,The increase in childhood vaccinations correlates with a rise in chronic illnesses among children in the U.S.,pillar,endorsed,Ana Wolpin,The increase in childhood vaccinations correlates with a rise in chronic illnesses among children in the U.S.,none,,,,,strengthens,weakens,normal,normal,true,high,The correlation between vaccination rates and chronic illnesses in children.,Pillar 4,U0086 | U0090,"[U0086] It was a rude awakening, especially for those of us in the Baby Boomer generation, to learn that the chronic illness rate in U.S. children which had been negligible when we were kids had jumped to 12.8% in the 1980s, then to 54% by 2011 .
[U0090] But after embarking on the world’s most aggressive vaccination program, the U.S. had twice as many first-day infant deaths as all 27 EU nations combined .",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,,The CDC has not conducted adequate safety testing for the cumulative aluminum load in vaccines given to infants.,pillar,endorsed,Ana Wolpin,The CDC has not conducted adequate safety testing for the cumulative aluminum load in vaccines given to infants.,none,,,,,strengthens,weakens,normal,normal,true,high,The adequacy of safety testing for aluminum in vaccines.,Pillar 5,U0279,[U0279] The CDC has NEVER safety tested this cumulative load received in multiple shots.,,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,,The narrative that vaccines are entirely safe and effective is a 'wishful fairy tale' that ignores significant risks.,pillar,endorsed,Ana Wolpin,The narrative that vaccines are entirely safe and effective is a 'wishful fairy tale' that ignores significant risks.,none,,,,,strengthens,weakens,normal,normal,true,medium,The characterization of the vaccine safety narrative.,Pillar 2,U0028,[U0028] At best the narrative is a wishful fairy tale.,,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,,The rise in vaccine exemptions among parents is indicative of growing concerns about vaccine safety.,pillar,endorsed,Ana Wolpin,The rise in vaccine exemptions among parents is indicative of growing concerns about vaccine safety.,none,,,,,strengthens,weakens,normal,normal,true,medium,The trend of increasing vaccine exemptions among parents.,Pillar 1,U0014,"[U0014] Along with reduction in vaccine uptake, there is also a rise in the rate of parents seeking vaccine exemptions for their children.",,,,,,,,,,,,,,,,,
