fixture,repeat,profile,origin,runStatus,failureClass,propositionCore,claimText,articleRole,articleUse,assertionSource,sourceProposition,articleResponse,articleResponseUnitIds,articleResponseGroundingText,assertionSourceKind,assertionSourceName,ifSupportedEffect,ifRefutedEffect,scoreTransformCheck,expectedTransform,transformConsistent,materiality,scope,relatedPillarLabels,sourceUnitIds,groundingText,verificationTarget,disputedProposition,stipulatedByArticle,whyThisTarget,warrant,supportCriteria,refuteCriteria,qualifyCriteria,mustMatch,rejectIfOnly_model,rejectIfOnly_host,sourceStrategy_emitted,sourceStrategy_resolved,searchConcepts,relevantNamedWorkIds,cautions,packageValid
CF1-F03,1,Set E,model,completed,,,Parents who choose not to vaccinate their children are often highly educated and scientifically literate.,pillar,endorsed,Aaron Siri,Parents who choose not to vaccinate their children are often highly educated and scientifically literate.,none,,,,,strengthens,weakens,normal,normal,true,high,Parents who choose not to vaccinate their children in the U.S.,Pillar 1,U0002 | U0021,"[U0002] “According to the CDC and public health authorities, parents who choose not to vaccinate their children are typically highly educated. CDC data reflect that half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated. Why would the parents of these children, comprising a large part of the nation’s brain trust, choose not to vaccinate their children?”
[U0021] • Parents who do not vaccinate. Parents who choose to forego vaccines, he says, are not only highly educated, but “often scientifically literate. Many are medical professionals. Leading scientists.” He quotes vaccine promoter Emily Brunson, PhD, who acknowledges: “When you look at hesitancy in the U.S., the group who is most likely to purposefully choose to not vaccinate are highly educated. In speaking with them, these are people who have read the primary literature themselves, and they’re correctly interpreting it.”",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,,"The CDC has manipulated data regarding vaccine safety, particularly concerning the MMR vaccine and its alleged link to autism, leading to a cover-up of adverse effects.",pillar,endorsed,William Thompson,"The CDC has manipulated data regarding vaccine safety, particularly concerning the MMR vaccine and its alleged link to autism, leading to a cover-up of adverse effects.",none,,,,,strengthens,weakens,normal,normal,true,high,CDC's handling of MMR vaccine safety data.,Pillar 2,U0037 | U0041 | U0344,"[U0037] Senior CDC scientist turned whistleblower William Thompson revealed privately in 2014 that data linking the MMR vaccine (measles/mumps/rubella) to autism had been manipulated by the agency ten years earlier.
[U0041] The fraudulent, re-worked study was then released to declare that it had proven MMR vaccines did not cause autism.
[U0344] Instead the CDC “massaged” the data and in 2003 released a reworked, fraudulent version of the study loudly trumpeting that thimerosal did not cause autism and other neurodevelomental problems.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,,"The 1986 National Childhood Vaccine Injury Act removed liability from vaccine manufacturers, resulting in a lack of accountability for vaccine-related injuries and deaths.",pillar,endorsed,Ana Wolpin,"The 1986 National Childhood Vaccine Injury Act removed liability from vaccine manufacturers, resulting in a lack of accountability for vaccine-related injuries and deaths.",none,,,,,strengthens,weakens,normal,normal,true,high,Impact of the 1986 Act on vaccine manufacturers' liability.,Pillar 3,U0068 | U0070,"[U0068] The first shock for anyone just beginning this research was learning about the 1986 National Childhood Vaccine Injury Act.
[U0070] Bowing to the pressure, in 1986 Congress removed all liability from drug companies for childhood vaccines they produced.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,,"The increase in chronic health conditions among vaccinated children correlates with the expansion of the childhood vaccination schedule, raising questions about vaccine safety.",pillar,endorsed,Ana Wolpin,"The increase in chronic health conditions among vaccinated children correlates with the expansion of the childhood vaccination schedule, raising questions about vaccine safety.",none,,,,,strengthens,weakens,normal,normal,true,high,Trends in childhood health conditions and vaccination rates.,Pillar 4,U0086 | U0091,"[U0086] It was a rude awakening, especially for those of us in the Baby Boomer generation, to learn that the chronic illness rate in U.S. children which had been negligible when we were kids had jumped to 12.8% in the 1980s, then to 54% by 2011 .
[U0091] An analysis of two decades of U.S. data (1990-2010) showed that infants who received the most vaccines had the worst hospitalization and death rates.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,,"Toxic substances such as aluminum and mercury in vaccines pose significant health risks, contradicting claims of their safety by health authorities.",pillar,endorsed,Ana Wolpin,"Toxic substances such as aluminum and mercury in vaccines pose significant health risks, contradicting claims of their safety by health authorities.",none,,,,,strengthens,weakens,normal,normal,true,high,Health risks associated with vaccine ingredients.,Pillar 5,U0245 | U0308,"[U0245] Folks SHOULD be nervous about aluminum being used in vaccines.
[U0308] Mercury is the third most toxic element on earth, 500 times more poisonous than lead.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,,The claims made in public health advertisements about vaccines are misleading and lack credible scientific support.,thesis,endorsed,Ana Wolpin,The claims made in public health advertisements about vaccines are misleading and lack credible scientific support.,none,,,,,strengthens,weakens,normal,normal,true,high,Public health advertisements regarding vaccines.,,U0001,"[U0001] Public Health’s “Truth” About Vaccines
PART 1
by Ana Wolpin | Apr 12, 2026 | General | 33 comments",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,,The rise in vaccine hesitancy is a response to the perceived lack of transparency and accountability from health authorities regarding vaccine safety.,opponent_claim,endorsed,Ana Wolpin,The rise in vaccine hesitancy is a response to the perceived lack of transparency and accountability from health authorities regarding vaccine safety.,none,,,,,strengthens,weakens,normal,normal,true,medium,Public perception of vaccine safety and health authority transparency.,,U0404,"[U0404] Efforts to rein in pharma’s capture of health agencies, medical groups and the vaccine narrative are causing a pitched battle, and the institutions entrenched in the religion of vaccines are doubling down to maintain their control.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,,"The narrative that vaccines are a modern medical miracle is a belief held by a small group of fervent supporters, often dismissing any evidence to the contrary.",opponent_claim,endorsed,Aaron Siri,"The narrative that vaccines are a modern medical miracle is a belief held by a small group of fervent supporters, often dismissing any evidence to the contrary.",none,,,,,strengthens,weakens,normal,normal,true,medium,Beliefs held by vaccine proponents.,,U0023 | U0024,"[U0023] • The “Vaccines Amen” crowd. For these believers , the story that vaccines are a modern medical miracle — safe and effective! — is a sacred cow. “This is the group of parents, doctors and public health professionals—a small army of them—who have a fervent belief in vaccines,” says Siri. “When these beliefs are challenged, this crowd gets angry.”
[U0024] Unable to “accept even official government data showing that many of their core beliefs regarding vaccines are false,” these zealots are incurious and entrenched.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,,The CDC's assertion that vaccines are tested more than any other medicine is misleading and does not account for the lack of long-term safety studies.,opponent_claim,endorsed,Ana Wolpin,The CDC's assertion that vaccines are tested more than any other medicine is misleading and does not account for the lack of long-term safety studies.,none,,,,,strengthens,weakens,normal,normal,true,medium,Claims about vaccine testing and safety protocols.,,U0401,[U0401] Is it true that “vaccines are tested more than any other medicine you could give your kid” ?,,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,,"The public health narrative surrounding vaccines is often treated as a sacred belief, leading to censorship of dissenting opinions.",opponent_claim,endorsed,Ana Wolpin,"The public health narrative surrounding vaccines is often treated as a sacred belief, leading to censorship of dissenting opinions.",none,,,,,strengthens,weakens,normal,normal,true,medium,Censorship of vaccine-related discussions in public forums.,,U0156 | U0160,"[U0156] Once again, allowing people to consider varied perspectives and then make up their own minds was not permitted.
[U0160] Stephen Schumacher (also a PTFP co-editor now) would experience the same censorship several years later regarding the experimental mRNA Covid vaccines.",,,,,,,,,,,,,,,,,
