fixture,repeat,profile,origin,runStatus,failureClass,claimText,articleRole,articleUse,assertionSource,materiality,scope,relatedPillarLabels,sourceUnitIds,groundingText,verificationTarget,disputedProposition,stipulatedByArticle,whyThisTarget,supportCriteria,refuteCriteria,qualifyCriteria,mustMatch,rejectIfOnly_model,rejectIfOnly_host,sourceStrategy_emitted,sourceStrategy_resolved,searchConcepts,relevantNamedWorkIds,cautions,packageValid
CF1-F03,1,Profile J,model,completed,,"According to the CDC, half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated.",thesis,endorsed,CDC,high,national,Public Health Claims,U0002,"[U0002] “According to the CDC and public health authorities, parents who choose not to vaccinate their children are typically highly educated. CDC data reflect that half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated. Why would the parents of these children, comprising a large part of the nation’s brain trust, choose not to vaccinate their children?”",substantive,"Half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated.","According to the CDC and public health authorities, parents who choose not to vaccinate their children are typically highly educated. CDC data reflect that half of American school children are not fully vaccinated, and at least 1 in 88 are.",The claim's validity hinges on the accuracy of CDC vaccination statistics.,National vaccination statistics confirming the percentage of unvaccinated children.,Data showing a lower percentage of unvaccinated children than claimed.,Statistics that indicate a significant variation in vaccination rates by region or demographic.,CDC vaccination statistics | American school children | toddlers,Sources that merely repeat the CDC's statement without independent verification.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: Half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely u",primary_article_result,independent_corroboration,CDC vaccination statistics | unvaccinated children | school children vaccination rates,,,true
CF1-F03,1,Profile J,model,completed,,"The health department's ad claims that vaccines are tested more than any other medicine, which is disputed by various studies.",pillar,rejected,health department,high,local,Vaccine Safety,U0008 | U0011 | U0012,"[U0008] • “Our kids face more challenges to their immune system while playing outside than they do from vaccines.”
[U0011] • “So far, there have been no credible studies that link vaccination to chronic disease.”
[U0012] • “Vaccines are tested more than any other medicine you could give your kid.”",substantive,"Vaccines are tested more than any other medicine, which is disputed by various studies.","The health department's ad claims that vaccines are tested more than any other medicine, which is disputed by various studies.",The claim's validity depends on the comparative testing protocols of vaccines versus other medicines.,Comparative studies on vaccine testing protocols versus other medicines.,Evidence showing that vaccines are indeed tested more rigorously than other medicines.,Studies indicating specific contexts where vaccine testing may differ from other medicines.,vaccine testing protocols | other medicines,Sources that only repeat the health department's claim without independent evidence.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: Vaccines are tested more than any other medicine, which is disputed by various studies.",mixed_sources,mixed_sources,vaccine testing | medicine testing comparison | health department claims,,,true
CF1-F03,1,Profile J,host_pillar_backfill,completed,,"Aluminum and mercury are present in vaccines, and their safety has been questioned by various studies and experts.",pillar,endorsed,article,high,"Aluminum and mercury are present in vaccines, and their safety has been questioned by various studies and experts.",Vaccine Ingredients,U0241 | U0300 | U0370,"[U0241] THE FACTS / ALUMINUM:
[U0300] THE FACTS / MERCURY:
[U0370] Thimerosal as a Vaccine Preservative , a summary prepared in 2025 for the CDC’s Advisory Committee for Immunization Practices (ACIP), notes that “thimerosal-containing vaccines exceed the TCLP threshold by orders of magnitude and are classified as D009 Hazardous Waste.”",substantive,"Aluminum and mercury are present in vaccines, and their safety has been questioned by various studies and experts.","Aluminum and mercury are present in vaccines, and their safety has been questioned by various studies and experts.",The claim's validity relies on the presence of these substances in vaccines and the safety concerns raised.,Studies demonstrating the presence of aluminum and mercury in vaccines.,Evidence showing that aluminum and mercury are not present in vaccines or are proven safe.,Research indicating specific populations or types of vaccines where safety concerns are more pronounced.,aluminum | mercury | vaccines,Sources that merely repeat the claim without providing independent evidence.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: Aluminum and mercury are present in vaccines, and their safety has been questioned by various studies and",independent_corroboration,independent_corroboration,vaccine ingredients | aluminum safety | mercury safety,,,true
CF1-F03,1,Profile J,model,completed,,"The introduction of mass vaccination programs coincided with a rise in Sudden Infant Death Syndrome (SIDS), which was not previously a recognized phenomenon.",pillar,endorsed,Neil Z. Miller,high,historical,SIDS and Vaccination,U0187 | U0194,"[U0187] “Prior to the introduction of organized vaccination programs, ‘crib death’ was so rare that it was not mentioned in infant mortality statistics… By 1972, SIDS had become the leading cause of post-neonatal mortality (infant deaths occurring between 28 days and 1 year of life) in the United States.”
[U0194] SIDS is the most extreme example of how vaccines can sometimes overwhelm a child’s immune system.",substantive,The introduction of mass vaccination programs coincided with a rise in Sudden Infant Death Syndrome (SIDS).,The introduction of mass vaccination programs coincided with a rise in Sudden Infant Death Syndrome (SIDS).,The claim's validity depends on historical data correlating vaccination programs with SIDS rates.,Historical data showing SIDS rates before and after the introduction of vaccination programs.,Data indicating no correlation between vaccination programs and SIDS rates.,Evidence showing that other factors contributed to the rise in SIDS rates during that period.,SIDS rates | vaccination programs | historical data,Sources that only repeat the claim without providing independent historical evidence.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: The introduction of mass vaccination programs coincided with a rise in Sudden Infant Death Syndrome (SIDS",independent_corroboration,independent_corroboration,SIDS historical data | vaccination programs | SIDS rates correlation,,,true
CF1-F03,1,Profile J,model,completed,,"The 1986 National Childhood Vaccine Injury Act removed liability from vaccine manufacturers, leading to increased vaccine production without accountability for safety.",pillar,endorsed,historical context,high,historical,Historical Context,U0068 | U0070,"[U0068] The first shock for anyone just beginning this research was learning about the 1986 National Childhood Vaccine Injury Act.
[U0070] Bowing to the pressure, in 1986 Congress removed all liability from drug companies for childhood vaccines they produced.",substantive,"The 1986 National Childhood Vaccine Injury Act removed liability from vaccine manufacturers, leading to increased vaccine production without accountability for safety.","The 1986 National Childhood Vaccine Injury Act removed liability from vaccine manufacturers, leading to increased vaccine production without accountability for safety.",The claim's validity relies on the historical context and implications of the 1986 Act.,Legislative records confirming the removal of liability from vaccine manufacturers.,Evidence showing that the Act did not lead to increased vaccine production or accountability issues.,Contextual evidence indicating other factors influencing vaccine production rates.,1986 National Childhood Vaccine Injury Act | vaccine manufacturers | liability removal,Sources that merely repeat the claim without providing legislative evidence.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: The 1986 National Childhood Vaccine Injury Act removed liability from vaccine manufacturers, leading to i",official_record,named_work_result,National Childhood Vaccine Injury Act | vaccine liability | vaccine production accountability,NW001,,true
CF1-F03,1,Profile J,host_pillar_backfill,completed,,"Efforts to suppress information about vaccine safety and adverse effects have been documented, including censorship of films and public discussions.",pillar,unclear,article,high,"Efforts to suppress information about vaccine safety and adverse effects have been documented, including censorship of films and public discussions.",Censorship and Information Suppression,U0049 | U0055 | U0062 | U0148 | U0152,"[U0049] The effort to suppress the film only gave it more publicity and heightened public interest.
[U0055] Within 24 hours of the film being announced, the screening which had been planned over months was canceled.
[U0062] Self-appointed community gatekeeper Owen Rowe demonstrated the epitome of the angry zealotry that Siri describes.
[U0148] Over a period of several months our group developed a vaccine study guide — VACCINATION: Where there is Risk, there must be Choice .
[U0152] Everything in the guide was meticulously documented — including CDC links, National Library of Medicine studies, and vaccine package inserts — all substantiated through Google Scholar.",substantive,"Efforts to suppress information about vaccine safety and adverse effects have been documented, including censorship of films and public discussions.","Efforts to suppress information about vaccine safety and adverse effects have been documented, including censorship of films and public discussions.",The claim's validity depends on the existence of documented efforts to suppress information.,Documented cases of censorship related to vaccine safety discussions.,Evidence showing that no such suppression efforts have occurred.,Specific instances where suppression efforts were proven ineffective or counterproductive.,censorship | vaccine safety | public discussions,Sources that only repeat the claim without providing independent documentation.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: Efforts to suppress information about vaccine safety and adverse effects have been documented, including ",independent_corroboration,independent_corroboration,vaccine censorship | information suppression | vaccine safety discussions,,,true
CF1-F03,1,Profile J,model,completed,,"Parents have reported numerous cases of vaccine injuries, including autism and SIDS, following vaccinations, which have been largely dismissed by health authorities.",pillar,endorsed,parent reports,high,anecdotal,Vaccine Injury Reports,U0101 | U0105 | U0106,"[U0101] The common themes in stories parents recounted were eerie.
[U0105] The worst were the SIDS (Sudden Infant Death Syndrome) cases.
[U0106] Some within hours of getting vaccinated, and nearly all within a week of their “Well Baby” shots, would be found dead in their cribs after being put down for a nap.",substantive,"Parents have reported numerous cases of vaccine injuries, including autism and SIDS, following vaccinations, which have been largely dismissed by health authorities.","Parents have reported numerous cases of vaccine injuries, including autism and SIDS, following vaccinations, which have been largely dismissed by health authorities.",The claim's validity relies on the existence of reported vaccine injuries and the response from health authorities.,Anecdotal evidence from parent testimonies regarding vaccine injuries.,Evidence showing that reported cases are not credible or have been adequately addressed by health authorities.,Data indicating the prevalence of such reports in specific demographics.,vaccine injuries | autism | SIDS | parent reports,Sources that only repeat the claim without providing independent testimonies.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: Parents have reported numerous cases of vaccine injuries, including autism and SIDS, following vaccinatio",independent_corroboration,independent_corroboration,vaccine injury reports | parent testimonies | autism and vaccines,,,true
CF1-F03,1,Profile J,model,completed,,"Studies have shown a significant correlation between thimerosal exposure in vaccines and increased autism rates, which the CDC has attempted to downplay.",pillar,endorsed,CDC studies,high,scientific,Thimerosal and Autism,U0326 | U0330,"[U0326] That brings us to the seminal study about a possible link between thimerosal and autism mentioned earlier.
[U0330] To avoid public scrutiny the June 2000 emergency meeting was not held at the CDC headquarters in Atlanta, but instead at the Simpsonwood Retreat Center in Norcross, Georgia.",substantive,"Studies have shown a significant correlation between thimerosal exposure in vaccines and increased autism rates, which the CDC has attempted to downplay.","Studies have shown a significant correlation between thimerosal exposure in vaccines and increased autism rates, which the CDC has attempted to downplay.",The claim's validity relies on the existence of studies demonstrating this correlation.,Research studies showing a correlation between thimerosal exposure and autism rates.,Evidence showing no correlation between thimerosal exposure and autism rates.,Studies indicating specific populations or conditions under which the correlation is more pronounced.,thimerosal | autism | correlation studies,Sources that only repeat the claim without providing independent research.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: Studies have shown a significant correlation between thimerosal exposure in vaccines and increased autism",independent_corroboration,independent_corroboration,thimerosal and autism | correlation studies | CDC response,,,true
CF1-F03,2,Profile J,model,completed,,"According to the CDC, half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated.",thesis,endorsed,CDC,high,national,Public Health Claims,U0002,"[U0002] “According to the CDC and public health authorities, parents who choose not to vaccinate their children are typically highly educated. CDC data reflect that half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated. Why would the parents of these children, comprising a large part of the nation’s brain trust, choose not to vaccinate their children?”",substantive,"Half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated.","According to the CDC and public health authorities, parents who choose not to vaccinate their children are typically highly educated. CDC data reflect that half of American school children are not fully vaccinated, and at least 1 in 88toddl",The underlying matter of vaccination rates is contested.,National vaccination statistics showing the percentage of fully vaccinated school children and toddlers.,Statistics showing a higher percentage of fully vaccinated school children and toddlers than claimed.,Data indicating that the vaccination rates vary significantly by region or demographic.,CDC vaccination statistics | American school children | toddlers,Sources that merely repeat the CDC's claim without independent verification.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: Half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely u",primary_article_result,independent_corroboration,CDC vaccination statistics | school children vaccination rates | toddler vaccination rates,,,true
CF1-F03,2,Profile J,model,completed,,"William Thompson, a senior CDC scientist, revealed that data linking the MMR vaccine to autism was manipulated by the CDC.",pillar,endorsed,William Thompson,high,national,Vaccine Safety,U0037 | U0038,"[U0037] Senior CDC scientist turned whistleblower William Thompson revealed privately in 2014 that data linking the MMR vaccine (measles/mumps/rubella) to autism had been manipulated by the agency ten years earlier.
[U0038] When top CDC officials learned that their 2004 study results showed a dramatic increase in autism after MMR vaccinations, they’d ordered Thompson and other scientists to destroy all evidence.",substantive,Data linking the MMR vaccine to autism was manipulated by the CDC.,"William Thompson, a senior CDC scientist, revealed that data linking the MMR vaccine to autism was manipulated by the CDC.",The truth of the manipulation of data is contested.,Investigative reports confirming Thompson's claims about data manipulation.,Evidence showing that the CDC's data on MMR and autism was not manipulated.,"Reports indicating that while data manipulation occurred, it did not significantly affect overall vaccine safety conclusions.",William Thompson's claims | CDC data manipulation | MMR vaccine | autism,Sources that merely repeat Thompson's claims without independent verification.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: Data linking the MMR vaccine to autism was manipulated by the CDC.",independent_corroboration,independent_corroboration,William Thompson | CDC data manipulation | MMR vaccine autism link,,,true
