fixture,repeat,profile,origin,runStatus,failureClass,claimText,articleRole,articleUse,assertionSource,materiality,scope,relatedPillarLabels,sourceUnitIds,groundingText,verificationTarget,disputedProposition,stipulatedByArticle,whyThisTarget,warrant,supportCriteria,refuteCriteria,qualifyCriteria,mustMatch,rejectIfOnly_model,rejectIfOnly_host,sourceStrategy_emitted,sourceStrategy_resolved,searchConcepts,relevantNamedWorkIds,cautions,packageValid
CF1-F03,1,Set B,model,completed,,"According to the CDC, half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated.",pillar,endorsed,CDC,high,American school children and toddlers,Public Health Claims,U0002,"[U0002] “According to the CDC and public health authorities, parents who choose not to vaccinate their children are typically highly educated. CDC data reflect that half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated. Why would the parents of these children, comprising a large part of the nation’s brain trust, choose not to vaccinate their children?”",,,,,,,,,,,,,,,,,
CF1-F03,1,Set B,model,completed,,The health department's ad claims that children face more challenges to their immune system while playing outside than from vaccines.,pillar,endorsed,Jefferson County Public Health,high,children's immune system challenges,Public Health Claims,U0008,[U0008] • “Our kids face more challenges to their immune system while playing outside than they do from vaccines.”,,,,,,,,,,,,,,,,,
CF1-F03,1,Set B,model,completed,,"The type of mercury in vaccines, ethylmercury, is claimed to be not harmful according to public health authorities.",pillar,reported,Public health authorities,high,mercury in vaccines,Public Health Claims,U0010,[U0010] • “The type of mercury in vaccines – ethylmercury – is NOT harmful to us.”,,,,,,,,,,,,,,,,,
CF1-F03,1,Set B,model,completed,,"There have been no credible studies linking vaccination to chronic disease, according to public health claims.",pillar,reported,Public health authorities,high,vaccination and chronic disease,Public Health Claims,U0011,"[U0011] • “So far, there have been no credible studies that link vaccination to chronic disease.”",,,,,,,,,,,,,,,,,
CF1-F03,1,Set B,model,completed,,"Allegations exist that the CDC manipulated data linking the MMR vaccine to autism, as revealed by whistleblower William Thompson.",pillar,reported,William Thompson,high,CDC's handling of MMR vaccine data,CDC Cover-Up Allegations,U0037 | U0038 | U0041,"[U0037] Senior CDC scientist turned whistleblower William Thompson revealed privately in 2014 that data linking the MMR vaccine (measles/mumps/rubella) to autism had been manipulated by the agency ten years earlier.
[U0038] When top CDC officials learned that their 2004 study results showed a dramatic increase in autism after MMR vaccinations, they’d ordered Thompson and other scientists to destroy all evidence.
[U0041] The fraudulent, re-worked study was then released to declare that it had proven MMR vaccines did not cause autism.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set B,model,completed,,"The 1986 National Childhood Vaccine Injury Act removed all liability from drug companies for childhood vaccines, leading to increased vaccine production without accountability.",pillar,endorsed,U.S. Congress,high,liability for vaccine injuries,Toxic Ingredients in Vaccines,U0068 | U0070,"[U0068] The first shock for anyone just beginning this research was learning about the 1986 National Childhood Vaccine Injury Act.
[U0070] Bowing to the pressure, in 1986 Congress removed all liability from drug companies for childhood vaccines they produced.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set B,model,completed,,A 2011 study found that countries giving the least vaccines had the lowest infant mortality rates.,pillar_support,reported,2011 study,medium,infant mortality rates and vaccination rates,Toxic Ingredients in Vaccines,U0092,[U0092] And a 2011 study of data from 34 developed nations found that countries giving the least vaccines had the lowest infant mortality. [ source ],,,,,,,,,,,,,,,,,
CF1-F03,1,Set B,model,completed,,The CDC has never safety tested the cumulative aluminum load received in multiple vaccine shots given to infants.,pillar,reported,CDC,high,safety testing of aluminum in vaccines,Toxic Ingredients in Vaccines,U0279,[U0279] The CDC has NEVER safety tested this cumulative load received in multiple shots.,,,,,,,,,,,,,,,,,
CF1-F03,1,Set B,model,completed,,The CDC's claim that thimerosal is not harmful contradicts evidence showing it is neurotoxic and linked to developmental issues.,pillar,reported,Material Safety Data Sheet for thimerosal,high,thimerosal in vaccines,Toxic Ingredients in Vaccines,U0300 | U0301,"[U0300] THE FACTS / MERCURY:
[U0301] “[Thimerosal] is toxic… Mutagenic in mammalian cells.“",,,,,,,,,,,,,,,,,
CF1-F03,1,Set B,model,completed,,The sudden infant death syndrome (SIDS) became the leading cause of post-neonatal mortality in the U.S. after mass vaccination programs were introduced.,pillar_support,reported,Neil Z. Miller,medium,SIDS rates and vaccination programs,Toxic Ingredients in Vaccines,U0191 | U0198,"[U0191] The death of any child is tragic.
[U0198] As Neil Z.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set B,model,completed,,"Parents have reported a correlation between vaccination and severe adverse reactions, including convulsions and sudden infant death.",pillar_support,reported,Parent testimonials,medium,adverse reactions to vaccines,Toxic Ingredients in Vaccines,U0102 | U0106,"[U0102] Many described rushing their infants or toddlers to the ER with convulsions, 105° fevers, horrifying screams and seizures after their shots, only to be told this is normal… we see this all the time… it has nothing to do with the vaccines .
[U0106] Some within hours of getting vaccinated, and nearly all within a week of their “Well Baby” shots, would be found dead in their cribs after being put down for a nap.",,,,,,,,,,,,,,,,,
