fixture,repeat,profile,origin,runStatus,failureClass,propositionCore,claimText,articleRole,articleUse,assertionSource,assertionSourceKind,assertionSourceName,ifSupportedEffect,ifRefutedEffect,scoreTransformCheck,expectedTransform,transformConsistent,materiality,scope,relatedPillarLabels,sourceUnitIds,groundingText,verificationTarget,disputedProposition,stipulatedByArticle,whyThisTarget,warrant,supportCriteria,refuteCriteria,qualifyCriteria,mustMatch,rejectIfOnly_model,rejectIfOnly_host,sourceStrategy_emitted,sourceStrategy_resolved,searchConcepts,relevantNamedWorkIds,cautions,packageValid
CF1-F03,1,Set B,model,completed,,,"According to the CDC, half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated.",pillar,reported,CDC,,,,,,,,high,American school children and toddlers,Public Health Claims,U0002,"[U0002] “According to the CDC and public health authorities, parents who choose not to vaccinate their children are typically highly educated. CDC data reflect that half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated. Why would the parents of these children, comprising a large part of the nation’s brain trust, choose not to vaccinate their children?”",,,,,,,,,,,,,,,,,
CF1-F03,1,Set B,model,completed,,,The health department's ad claims that children face more challenges to their immune system while playing outside than from vaccines.,pillar,reported,Jefferson County Public Health,,,,,,,,medium,children's immune system challenges,Public Health Claims,U0008,[U0008] • “Our kids face more challenges to their immune system while playing outside than they do from vaccines.”,,,,,,,,,,,,,,,,,
CF1-F03,1,Set B,model,completed,,,"There have been no credible studies linking vaccination to chronic disease, according to public health authorities.",pillar,reported,Jefferson County Public Health,,,,,,,,high,link between vaccination and chronic disease,Public Health Claims,U0011,"[U0011] • “So far, there have been no credible studies that link vaccination to chronic disease.”",,,,,,,,,,,,,,,,,
CF1-F03,1,Set B,model,completed,,,"The 1986 National Childhood Vaccine Injury Act removed all liability from drug companies for childhood vaccines, leading to increased vaccine production without accountability.",pillar,reported,article's own voice,,,,,,,,high,U.S. vaccine manufacturers,Historical Context,U0070,"[U0070] Bowing to the pressure, in 1986 Congress removed all liability from drug companies for childhood vaccines they produced.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set B,model,completed,,,"A 2005 University of Washington study found that injected ethylmercury (thimerosal) crosses the placenta and blood-brain barriers at high levels, posing risks to infants.",pillar,reported,University of Washington study,,,,,,,,high,infants exposed to thimerosal,Thimerosal and Aluminum Concerns,U0320,"[U0320] The study demonstrated that while ingested methylmercury generally remains in the bloodstream, injected thimerosal crosses the placenta and blood brain barriers at high levels.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set B,model,completed,,,"The CDC has classified thimerosal-containing vaccines as toxic hazardous waste, yet public health authorities claim they are safe for infants.",pillar,reported,EPA and CDC,,,,,,,,high,thimerosal in vaccines,Thimerosal and Aluminum Concerns,U0368,[U0368] The limit for mercury in drinking water is set at 200 parts per billion per the EPA’s Toxicity Characteristic Leaching Procedure (TCLP).,,,,,,,,,,,,,,,,,
CF1-F03,1,Set B,model,completed,,,"Parents have reported a rise in chronic health conditions among children, correlating with increased vaccination rates since the 1986 act.",pillar_support,reported,article's own voice,,,,,,,,medium,chronic health conditions in U.S. children,Historical Context,U0086,"[U0086] It was a rude awakening, especially for those of us in the Baby Boomer generation, to learn that the chronic illness rate in U.S. children which had been negligible when we were kids had jumped to 12.8% in the 1980s, then to 54% by 2011 .",,,,,,,,,,,,,,,,,
CF1-F03,1,Set B,model,completed,,,"The health department's ad claims that vaccines are tested more than any other medicine, which is disputed by critics.",opponent_claim,reported,Jefferson County Public Health,,,,,,,,medium,testing of vaccines compared to other medicines,Public Health Claims,U0012,[U0012] • “Vaccines are tested more than any other medicine you could give your kid.”,,,,,,,,,,,,,,,,,
CF1-F03,1,Set B,model,completed,,,"Censorship of vaccine dissenting views has been observed in community settings, including the cancellation of film screenings.",pillar,reported,article's own voice,,,,,,,,high,community responses to vaccine dissent,Censorship and Gatekeeping,U0055,"[U0055] Within 24 hours of the film being announced, the screening which had been planned over months was canceled.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set B,model,completed,,,The CDC's 2000 emergency meeting regarding thimerosal was held to strategize how to hide alarming findings about its link to autism from the public.,pillar,reported,FOIA request,,,,,,,,high,CDC's handling of thimerosal data,Thimerosal and Aluminum Concerns,U0330,"[U0330] To avoid public scrutiny the June 2000 emergency meeting was not held at the CDC headquarters in Atlanta, but instead at the Simpsonwood Retreat Center in Norcross, Georgia.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set C,model,completed,,,"Half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated.",pillar,reported,CDC,,,,,,,,high,"United States, current vaccination rates",Public Health Claims,U0002,"[U0002] “According to the CDC and public health authorities, parents who choose not to vaccinate their children are typically highly educated. CDC data reflect that half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated. Why would the parents of these children, comprising a large part of the nation’s brain trust, choose not to vaccinate their children?”",,,,,,,,,,,,,,,,,
CF1-F03,1,Set C,model,completed,,,The health department's ad claims that children face more challenges to their immune system while playing outside than from vaccines.,pillar,endorsed,Jefferson County Public Health,,,,,,,,medium,"Jefferson County, health department ad",Public Health Claims,U0008,[U0008] • “Our kids face more challenges to their immune system while playing outside than they do from vaccines.”,,,,,,,,,,,,,,,,,
CF1-F03,1,Set C,model,completed,,,"There have been no credible studies linking vaccination to chronic disease, according to public health authorities.",pillar,reported,Jefferson County Public Health,,,,,,,,high,U.S. vaccination studies,Public Health Claims,U0011,"[U0011] • “So far, there have been no credible studies that link vaccination to chronic disease.”",,,,,,,,,,,,,,,,,
CF1-F03,1,Set C,model,completed,,,The 1986 National Childhood Vaccine Injury Act removed all liability from drug companies for childhood vaccines they produced.,pillar,endorsed,U.S. Congress,,,,,,,,high,"U.S. legislation, 1986",Historical Context,U0070,"[U0070] Bowing to the pressure, in 1986 Congress removed all liability from drug companies for childhood vaccines they produced.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set C,model,completed,,,"Parents have reported severe adverse reactions in their children following vaccinations, including autism and SIDS.",pillar,reported,Parents,,,,,,,,high,U.S. parents' reports,Vaccine Injury Reports,U0102,"[U0102] Many described rushing their infants or toddlers to the ER with convulsions, 105° fevers, horrifying screams and seizures after their shots, only to be told this is normal… we see this all the time… it has nothing to do with the vaccines .",,,,,,,,,,,,,,,,,
CF1-F03,1,Set C,model,completed,,,"The CDC manipulated data linking the MMR vaccine to autism, according to whistleblower William Thompson.",pillar,reported,William Thompson,,,,,,,,high,CDC studies on MMR vaccine,Public Health Claims,U0037 | U0041,"[U0037] Senior CDC scientist turned whistleblower William Thompson revealed privately in 2014 that data linking the MMR vaccine (measles/mumps/rubella) to autism had been manipulated by the agency ten years earlier.
[U0041] The fraudulent, re-worked study was then released to declare that it had proven MMR vaccines did not cause autism.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set C,model,completed,,,"Aluminum in vaccines is toxic and can cause neurological damage, according to multiple studies.",pillar,endorsed,James Lyons-Weiler and Robert Ricketson,,,,,,,,high,Studies on aluminum toxicity in vaccines,Toxic Ingredients,U0250 | U0255,"[U0250] Injecting aluminum through a vaccination bypasses these protections, placing it directly into the bloodstream.
[U0255] Aluminum poisoning has been linked to autism, SIDs, seizures, autoimmune issues, Alzheimers, neurological damage, impaired renal function, demyelinating disorders such as MS, and cancer. [ source ]",,,,,,,,,,,,,,,,,
CF1-F03,1,Set C,model,completed,,,"Thimerosal, a mercury-based preservative in vaccines, is neurotoxic and linked to autism.",pillar,endorsed,Material Safety Data Sheet,,,,,,,,high,Thimerosal in vaccines,Toxic Ingredients,U0301 | U0310,"[U0301] “[Thimerosal] is toxic… Mutagenic in mammalian cells.“
[U0310] Contrary to our health department’s claim, it is highly neurotoxic — dangerous enough to cause “decreased offspring survival” as Eli Lilly was required by law to disclose in its Material Safety Data Sheet for thimerosal.",,,,,,,,,,,,,,,,,
