fixture,repeat,profile,origin,runStatus,failureClass,propositionCore,claimText,articleRole,articleUse,assertionSource,assertionSourceKind,assertionSourceName,ifSupportedEffect,ifRefutedEffect,scoreTransformCheck,expectedTransform,transformConsistent,materiality,scope,relatedPillarLabels,sourceUnitIds,groundingText,verificationTarget,disputedProposition,stipulatedByArticle,whyThisTarget,warrant,supportCriteria,refuteCriteria,qualifyCriteria,mustMatch,rejectIfOnly_model,rejectIfOnly_host,sourceStrategy_emitted,sourceStrategy_resolved,searchConcepts,relevantNamedWorkIds,cautions,packageValid
CF1-F03,1,Set H,model,completed,,"Half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated.","Half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated.",pillar,endorsed,unknown,,,strengthens,unchanged,normal,unresolved,false,high,national,Vaccine Hesitancy and Education,U0002,"[U0002] “According to the CDC and public health authorities, parents who choose not to vaccinate their children are typically highly educated. CDC data reflect that half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated. Why would the parents of these children, comprising a large part of the nation’s brain trust, choose not to vaccinate their children?”",substantive,"Half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated.",,The dispute is whether the claim about vaccination rates among American school children is true.,,Demographic data showing that 50% of American school children are not fully vaccinated. | Statistics indicating that 1 in 88 toddlers are completely unvaccinated.,Demographic data showing that less than 50% of American school children are not fully vaccinated. | Statistics indicating that more than 1 in 88 toddlers are completely vaccinated.,Data showing that the vaccination rates vary significantly by region or demographic group.,Vaccination rates among American school children | Statistics on toddler vaccination rates | National scope of the data,Restating the claim without providing supporting data. | Discussing vaccination rates in a different country or region. | Using outdated statistics that do not reflect current vaccination rates.,,primary_article_result,primary_article_result,vaccination rates | American school children | toddler vaccination statistics,,,true
CF1-F03,1,Set H,model,completed,,"Efforts to suppress information about vaccine safety and adverse effects are prevalent, as seen in community responses to screenings of films like Vaxxed.","Efforts to suppress information about vaccine safety and adverse effects are prevalent, as seen in community responses to screenings of films like Vaxxed.",pillar,endorsed,unknown,,,strengthens,weakens,normal,normal,true,high,local,Censorship and Gatekeeping,U0055 | U0062,"[U0055] Within 24 hours of the film being announced, the screening which had been planned over months was canceled.
[U0062] Self-appointed community gatekeeper Owen Rowe demonstrated the epitome of the angry zealotry that Siri describes.",substantive,"Efforts to suppress information about vaccine safety and adverse effects are prevalent, as seen in community responses to screenings of films like Vaxxed.",,The dispute is whether there are prevalent efforts to suppress information about vaccine safety.,,Case studies demonstrating community responses to screenings of films like Vaxxed that indicate suppression of information. | Evidence of organized efforts to censor discussions about vaccine safety.,Evidence showing that there are no significant efforts to suppress information about vaccine safety. | Case studies indicating that screenings of films like Vaxxed were well-received without any suppression.,Data showing that suppression efforts are limited to specific communities or regions.,Community responses to vaccine-related screenings | Evidence of censorship or suppression | Local scope of the data,Restating the claim without providing supporting evidence. | Discussing vaccine safety without addressing suppression efforts. | Using examples from unrelated topics or films.,,mixed_sources,mixed_sources,vaccine safety suppression | community responses | Vaxxed film screenings,,,true
CF1-F03,1,Set H,model,completed,,"Vaccines contain toxic substances such as aluminum and mercury, which pose health risks to children.","Vaccines contain toxic substances such as aluminum and mercury, which pose health risks to children.",pillar,endorsed,unknown,,,strengthens,weakens,normal,normal,true,high,general,Toxic Ingredients in Vaccines,U0242 | U0301,"[U0242] “Our calculations show that the levels of aluminum suggested by the currently used limits place infants at risk of acute, repeated, and possibly chronic exposures of toxic levels of aluminum in modern vaccine schedules.”
[U0301] “[Thimerosal] is toxic… Mutagenic in mammalian cells.“",substantive,"Vaccines contain toxic substances such as aluminum and mercury, which pose health risks to children.",,The dispute is whether vaccines contain toxic substances that pose health risks.,,Toxicology studies showing the presence of aluminum and mercury in vaccines. | Research indicating health risks associated with these substances in children.,Studies showing that vaccines do not contain harmful levels of aluminum or mercury. | Evidence indicating that the substances in vaccines do not pose health risks to children.,Data showing that the levels of aluminum and mercury in vaccines are within safe limits.,Presence of aluminum and mercury in vaccines | Health risk assessments related to vaccine ingredients | General scope of vaccine safety,Restating the claim without providing supporting data. | Discussing other substances not related to aluminum or mercury. | Using studies that do not focus on vaccines.,,primary_article_result,primary_article_result,toxic substances in vaccines | aluminum mercury health risks | vaccine safety studies,,,true
CF1-F03,1,Set H,model,completed,,The 1986 National Childhood Vaccine Injury Act removed liability from drug companies for childhood vaccines they produced.,The 1986 National Childhood Vaccine Injury Act removed liability from drug companies for childhood vaccines they produced.,pillar,endorsed,unknown,,,strengthens,unchanged,normal,unresolved,false,high,national,Historical Context of Vaccine Legislation,U0070,"[U0070] Bowing to the pressure, in 1986 Congress removed all liability from drug companies for childhood vaccines they produced.",substantive,The 1986 National Childhood Vaccine Injury Act removed liability from drug companies for childhood vaccines they produced.,,The dispute is whether the 1986 Act indeed removed liability from drug companies.,,Legislative history showing the removal of liability in the 1986 Act. | Documentation of the implications of the Act on vaccine manufacturers.,Evidence showing that liability was not removed or was reinstated after the Act.,Data indicating that liability removal applies only to certain vaccines or manufacturers.,Text of the 1986 National Childhood Vaccine Injury Act | Historical context of vaccine liability | National scope of the legislation,Restating the claim without providing legislative evidence. | Discussing vaccine liability in a different context or time period. | Using unrelated legal cases as examples.,,official_record,named_work_result,National Childhood Vaccine Injury Act | vaccine liability | legislative history,NW001,,true
CF1-F03,1,Set H,model,completed,,The rate of chronic illnesses in children has significantly increased since the expansion of the childhood vaccination schedule.,The rate of chronic illnesses in children has significantly increased since the expansion of the childhood vaccination schedule.,pillar,endorsed,unknown,,,strengthens,weakens,normal,normal,true,high,historical,Rising Chronic Illness Rates,U0086,"[U0086] It was a rude awakening, especially for those of us in the Baby Boomer generation, to learn that the chronic illness rate in U.S. children which had been negligible when we were kids had jumped to 12.8% in the 1980s, then to 54% by 2011 .",substantive,The rate of chronic illnesses in children has significantly increased since the expansion of the childhood vaccination schedule.,,The dispute is whether there is a significant increase in chronic illnesses linked to vaccination.,,Epidemiological data showing increased rates of chronic illnesses in children post-vaccination schedule expansion. | Research correlating vaccination schedules with chronic illness rates.,Data showing no significant increase in chronic illnesses among vaccinated children. | Studies indicating that chronic illness rates are unrelated to vaccination schedules.,Data showing that the increase in chronic illnesses is not solely attributable to vaccination.,Chronic illness rates among children | Vaccination schedule changes | Historical scope of the data,Restating the claim without providing supporting epidemiological data. | Discussing chronic illnesses in adults or unrelated populations. | Using outdated statistics that do not reflect current trends.,,primary_article_result,primary_article_result,chronic illness rates | vaccination schedule expansion | epidemiological studies,,,true
CF1-F03,1,Set H,model,completed,,The claims made in public health advertisements about vaccines repeat medical dogma that has persisted for decades with no basis in reality.,The claims made in public health advertisements about vaccines repeat medical dogma that has persisted for decades with no basis in reality.,thesis,endorsed,unknown,,,strengthens,weakens,normal,normal,true,high,general,Public Health Messaging,U0027,"[U0027] As this article will show, the claims made in our health department’s ad repeat medical dogma that has persisted for decades with no basis in reality.",substantive,The claims made in public health advertisements about vaccines repeat medical dogma that has persisted for decades with no basis in reality.,,The dispute is whether public health advertisements are based on unfounded medical dogma.,,Analysis of public health advertisements showing repetition of unfounded medical claims. | Evidence indicating that the claims lack scientific support.,Evidence showing that public health claims are based on sound scientific research. | Analysis indicating that the claims are valid and supported by data.,Data showing that some claims may have a basis in reality or scientific support.,Content of public health advertisements | Historical context of medical claims | General scope of public health messaging,Restating the claim without providing supporting analysis. | Discussing unrelated health topics or claims. | Using examples that do not pertain to vaccines.,,mixed_sources,mixed_sources,public health advertisements | medical dogma | vaccine claims analysis,,,true
CF1-F03,1,Set H,model,completed,,The type of mercury in vaccines – ethylmercury – is harmful and linked to neurological damage.,The type of mercury in vaccines – ethylmercury – is harmful and linked to neurological damage.,pillar,endorsed,unknown,,,strengthens,weakens,normal,normal,true,high,specific,Toxic Ingredients in Vaccines,U0255 | U0301 | U0306,"[U0255] Aluminum poisoning has been linked to autism, SIDs, seizures, autoimmune issues, Alzheimers, neurological damage, impaired renal function, demyelinating disorders such as MS, and cancer. [ source ]
[U0301] “[Thimerosal] is toxic… Mutagenic in mammalian cells.“
[U0306] “Forbidden Facts: Government Deceit & Suppression About Brain Damage from Childhood Vaccines”",substantive,The type of mercury in vaccines – ethylmercury – is harmful and linked to neurological damage.,,The dispute is whether ethylmercury in vaccines is harmful.,,Toxicology studies linking ethylmercury to neurological damage. | Research indicating health risks associated with ethylmercury in vaccines.,Studies showing that ethylmercury does not pose health risks or is safe in vaccines. | Evidence indicating that neurological damage is unrelated to ethylmercury exposure.,Data showing that the harmful effects of ethylmercury are dose-dependent or vary by individual.,Presence of ethylmercury in vaccines | Health risk assessments related to ethylmercury | Specific scope of vaccine ingredients,Restating the claim without providing supporting toxicology data. | Discussing other forms of mercury not related to ethylmercury. | Using studies that do not focus on vaccines.,,primary_article_result,primary_article_result,ethylmercury health risks | neurological damage | toxicology studies vaccines,,,true
CF1-F03,1,Set H,model,completed,,"The CDC has manipulated data to downplay the risks associated with vaccines, including the MMR vaccine and its link to autism.","The CDC has manipulated data to downplay the risks associated with vaccines, including the MMR vaccine and its link to autism.",pillar,endorsed,unknown,,,strengthens,weakens,normal,normal,true,high,historical,Public Health Messaging,U0343 | U0344 | U0345,"[U0343] Findings from the original Verstraeten Study shown above — “Increased Risk of Developmental Neurological Impairment after High Exposure to Thimerosal-Containing Vaccines in the First Month of Life” — never saw the light of day.
[U0344] Instead the CDC “massaged” the data and in 2003 released a reworked, fraudulent version of the study loudly trumpeting that thimerosal did not cause autism and other neurodevelomental problems.
[U0345] It’s the same playbook that CDC whistleblower William Thompson exposed decades later regarding the CDC’s study of the MMR vaccine and autism.",substantive,"The CDC has manipulated data to downplay the risks associated with vaccines, including the MMR vaccine and its link to autism.",,The dispute is whether the CDC has manipulated data regarding vaccine risks.,,Analysis of CDC studies showing evidence of data manipulation. | Documentation of claims regarding the MMR vaccine and autism.,Evidence showing that CDC data is accurate and not manipulated. | Studies indicating that the MMR vaccine does not have a link to autism.,Data showing that any manipulation was limited to specific studies or contexts.,CDC study data | Claims regarding MMR vaccine and autism | Historical context of CDC practices,Restating the claim without providing supporting analysis. | Discussing unrelated vaccine topics or studies. | Using examples that do not pertain to the CDC.,,mixed_sources,mixed_sources,CDC data manipulation | MMR vaccine autism link | analysis of CDC studies,,,true
CF1-F03,2,Set H,,failed,schema_invalid:semantic_inventory_verification,,(no inventory — CF1_AGENT_SEMANTIC_INVALID: Candidate 2 violated H source contract),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
CF1-F03,3,Set H,,failed,schema_invalid:semantic_inventory_verification,,(no inventory — CF1_AGENT_SEMANTIC_INVALID: Candidate 2 violated H source contract),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
