fixture,repeat,profile,origin,runStatus,failureClass,propositionCore,claimText,articleRole,articleUse,assertionSource,assertionSourceKind,assertionSourceName,ifSupportedEffect,ifRefutedEffect,scoreTransformCheck,expectedTransform,transformConsistent,materiality,scope,relatedPillarLabels,sourceUnitIds,groundingText,verificationTarget,disputedProposition,stipulatedByArticle,whyThisTarget,warrant,supportCriteria,refuteCriteria,qualifyCriteria,mustMatch,rejectIfOnly_model,rejectIfOnly_host,sourceStrategy_emitted,sourceStrategy_resolved,searchConcepts,relevantNamedWorkIds,cautions,packageValid
CF1-F03,1,Set H,model,verification_failed,verification_failed:package_verification,"Public health authorities claim that vaccines are safe and effective, but this assertion lacks credible scientific support.","Public health authorities claim that vaccines are safe and effective, but this assertion lacks credible scientific support.",thesis,opponent_to_rebut,,,,strengthens,weakens,normal,normal,true,high,general,Vaccine Safety,U0001,"[U0001] Public Health’s “Truth” About Vaccines
PART 1
by Ana Wolpin | Apr 12, 2026 | General | 33 comments",,,,,,,,,,,,,,,,,false
CF1-F03,1,Set H,model,verification_failed,verification_failed:package_verification,The CDC and public health authorities have manipulated data regarding vaccine safety and adverse effects.,The CDC and public health authorities have manipulated data regarding vaccine safety and adverse effects.,pillar,endorsed,,,,strengthens,weakens,normal,normal,true,high,specific,Historical Context of Vaccination,U0037 | U0041,"[U0037] Senior CDC scientist turned whistleblower William Thompson revealed privately in 2014 that data linking the MMR vaccine (measles/mumps/rubella) to autism had been manipulated by the agency ten years earlier.
[U0041] The fraudulent, re-worked study was then released to declare that it had proven MMR vaccines did not cause autism.",,,,,,,,,,,,,,,,,false
CF1-F03,1,Set H,model,verification_failed,verification_failed:package_verification,Vaccines contain toxic substances such as aluminum and mercury that pose health risks to children.,Vaccines contain toxic substances such as aluminum and mercury that pose health risks to children.,pillar,endorsed,,,,strengthens,weakens,normal,normal,true,high,specific,Toxic Ingredients in Vaccines,U0241 | U0300,"[U0241] THE FACTS / ALUMINUM:
[U0300] THE FACTS / MERCURY:",,,,,,,,,,,,,,,,,false
CF1-F03,1,Set H,model,verification_failed,verification_failed:package_verification,"There has been a significant increase in chronic illnesses among vaccinated children, correlating with the rise in vaccination rates.","There has been a significant increase in chronic illnesses among vaccinated children, correlating with the rise in vaccination rates.",pillar,endorsed,,,,strengthens,weakens,normal,normal,true,high,specific,Rise in Chronic Illnesses,U0086 | U0090,"[U0086] It was a rude awakening, especially for those of us in the Baby Boomer generation, to learn that the chronic illness rate in U.S. children which had been negligible when we were kids had jumped to 12.8% in the 1980s, then to 54% by 2011 .
[U0090] But after embarking on the world’s most aggressive vaccination program, the U.S. had twice as many first-day infant deaths as all 27 EU nations combined .",,,,,,,,,,,,,,,,,false
CF1-F03,1,Set H,model,verification_failed,verification_failed:package_verification,Public health messaging often dismisses legitimate concerns about vaccine safety and fails to engage with critical perspectives.,Public health messaging often dismisses legitimate concerns about vaccine safety and fails to engage with critical perspectives.,pillar,endorsed,,,,strengthens,weakens,normal,normal,true,medium,general,Public Health Messaging,U0179 | U0400,"[U0179] Let’s now consider the claims in Jefferson County Public Health’s ad.
[U0400] Are there “no credible studies that link vaccination to chronic disease” ?",,,,,,,,,,,,,,,,,false
CF1-F03,1,Set H,model,verification_failed,verification_failed:package_verification,Censorship and suppression of information regarding vaccine safety and adverse effects are prevalent in public health discourse.,Censorship and suppression of information regarding vaccine safety and adverse effects are prevalent in public health discourse.,pillar,endorsed,,,,strengthens,weakens,normal,normal,true,high,specific,Censorship and Gatekeeping,U0062 | U0156,"[U0062] Self-appointed community gatekeeper Owen Rowe demonstrated the epitome of the angry zealotry that Siri describes.
[U0156] Once again, allowing people to consider varied perspectives and then make up their own minds was not permitted.",,,,,,,,,,,,,,,,,false
CF1-F03,1,Set H,model,verification_failed,verification_failed:package_verification,"The 1986 National Childhood Vaccine Injury Act removed liability from vaccine manufacturers, impacting vaccine safety accountability.","The 1986 National Childhood Vaccine Injury Act removed liability from vaccine manufacturers, impacting vaccine safety accountability.",pillar,endorsed,,,,strengthens,weakens,normal,normal,true,medium,specific,Historical Context of Vaccination,U0070,"[U0070] Bowing to the pressure, in 1986 Congress removed all liability from drug companies for childhood vaccines they produced.",,,,,,,,,,,,,,,,,false
CF1-F03,1,Set H,model,verification_failed,verification_failed:package_verification,Parents who choose not to vaccinate their children are often highly educated and scientifically literate.,Parents who choose not to vaccinate their children are often highly educated and scientifically literate.,pillar,endorsed,,,,strengthens,weakens,normal,normal,true,medium,specific,Vaccine Safety,U0021,"[U0021] • Parents who do not vaccinate. Parents who choose to forego vaccines, he says, are not only highly educated, but “often scientifically literate. Many are medical professionals. Leading scientists.” He quotes vaccine promoter Emily Brunson, PhD, who acknowledges: “When you look at hesitancy in the U.S., the group who is most likely to purposefully choose to not vaccinate are highly educated. In speaking with them, these are people who have read the primary literature themselves, and they’re correctly interpreting it.”",,,,,,,,,,,,,,,,,false
CF1-F03,1,Set H,model,verification_failed,verification_failed:package_verification,The rise in vaccine hesitancy is a response to perceived failures in public health messaging and vaccine safety.,The rise in vaccine hesitancy is a response to perceived failures in public health messaging and vaccine safety.,pillar,endorsed,,,,strengthens,weakens,normal,normal,true,medium,general,Public Health Messaging,U0400,[U0400] Are there “no credible studies that link vaccination to chronic disease” ?,,,,,,,,,,,,,,,,,false
CF1-F03,1,Set H,model,verification_failed,verification_failed:package_verification,The claims made by public health authorities about vaccines are often based on outdated or manipulated data.,The claims made by public health authorities about vaccines are often based on outdated or manipulated data.,pillar,endorsed,,,,strengthens,weakens,normal,normal,true,medium,general,Vaccine Safety,U0027 | U0028,"[U0027] As this article will show, the claims made in our health department’s ad repeat medical dogma that has persisted for decades with no basis in reality.
[U0028] At best the narrative is a wishful fairy tale.",,,,,,,,,,,,,,,,,false
