fixture,repeat,profile,origin,runStatus,failureClass,claimText,articleRole,articleUse,assertionSource,materiality,scope,relatedPillarLabels,sourceUnitIds,groundingText,verificationTarget,disputedProposition,stipulatedByArticle,whyThisTarget,warrant,supportCriteria,refuteCriteria,qualifyCriteria,mustMatch,rejectIfOnly_model,rejectIfOnly_host,sourceStrategy_emitted,sourceStrategy_resolved,searchConcepts,relevantNamedWorkIds,cautions,packageValid
CF1-F03,1,Set B,model,completed,,"According to the CDC, half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated.",pillar,reported,CDC,high,American school children and toddlers.,Public Health Claims,U0002,"[U0002] “According to the CDC and public health authorities, parents who choose not to vaccinate their children are typically highly educated. CDC data reflect that half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated. Why would the parents of these children, comprising a large part of the nation’s brain trust, choose not to vaccinate their children?”",,,,,,,,,,,,,,,,,
CF1-F03,1,Set B,model,completed,,The health department's ad claims that children face more challenges to their immune system while playing outside than from vaccines.,pillar,reported,Jefferson County Public Health,medium,children's immune system challenges.,Public Health Claims,U0008,[U0008] • “Our kids face more challenges to their immune system while playing outside than they do from vaccines.”,,,,,,,,,,,,,,,,,
CF1-F03,1,Set B,model,completed,,"The type of mercury in vaccines, ethylmercury, is claimed to be not harmful, but studies indicate it is toxic and linked to neurological damage.",pillar,reported,Health authorities,high,ethylmercury in vaccines.,Thimerosal and Autism Link,U0297 | U0301,"[U0297] [2] MERCURY
The type of mercury in vaccines – ethylmercury – is NOT harmful to us.
[U0301] “[Thimerosal] is toxic… Mutagenic in mammalian cells.“",,,,,,,,,,,,,,,,,
CF1-F03,1,Set B,model,completed,,"William Thompson, a CDC whistleblower, revealed that data linking the MMR vaccine to autism was manipulated and evidence was destroyed.",pillar,reported,William Thompson,high,CDC's handling of MMR vaccine data.,Thimerosal and Autism Link,U0037 | U0041,"[U0037] Senior CDC scientist turned whistleblower William Thompson revealed privately in 2014 that data linking the MMR vaccine (measles/mumps/rubella) to autism had been manipulated by the agency ten years earlier.
[U0041] The fraudulent, re-worked study was then released to declare that it had proven MMR vaccines did not cause autism.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set B,model,completed,,"The childhood vaccination schedule has increased from 5 doses in the 1950s to 73 doses by 2011, raising concerns about safety and health outcomes.",pillar,reported,Historical vaccination data,high,U.S. childhood vaccination schedule over decades.,Aluminum Toxicity,U0079 | U0080,"[U0079] While children had received just five vaccine doses in three shots in the 1950s and ’60s when I was growing up (none during pregnancy or in the first 12 months of life), by 1986 children were receiving 25 doses/12 shots.
[U0080] In the decades following the 1986 act the childhood schedule exploded to 73 doses/54 shots.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set B,model,completed,,An analysis of U.S. data showed that infants who received the most vaccines had the worst hospitalization and death rates.,pillar,reported,U.S. data analysis,high,infants receiving vaccines in the U.S.,Aluminum Toxicity,U0091,[U0091] An analysis of two decades of U.S. data (1990-2010) showed that infants who received the most vaccines had the worst hospitalization and death rates.,,,,,,,,,,,,,,,,,
CF1-F03,1,Set B,model,completed,,"The CDC has been accused of conducting a cover-up regarding the safety of vaccines, including the manipulation of studies to support vaccine efficacy.",pillar,reported,Critics of the CDC,high,CDC's vaccine safety studies.,Thimerosal and Autism Link,U0344,"[U0344] Instead the CDC “massaged” the data and in 2003 released a reworked, fraudulent version of the study loudly trumpeting that thimerosal did not cause autism and other neurodevelomental problems.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set B,model,completed,,"Parents are increasingly seeking vaccine exemptions for their children, reflecting a growing skepticism about vaccine safety.",pillar,reported,Vaccine exemption data,medium,Parents seeking vaccine exemptions in the U.S.,Vaccine Exemptions,U0014,"[U0014] Along with reduction in vaccine uptake, there is also a rise in the rate of parents seeking vaccine exemptions for their children.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set B,model,completed,,"The health department's ad states that vaccines are tested more than any other medicine, but this claim is disputed by critics who argue that safety testing is inadequate.",pillar,reported,Health department ad,medium,Claims about vaccine testing.,Public Health Claims,U0401,[U0401] Is it true that “vaccines are tested more than any other medicine you could give your kid” ?,,,,,,,,,,,,,,,,,
CF1-F03,1,Set B,model,completed,,"Censorship of vaccine dissenting views has occurred, including the cancellation of screenings for films that challenge vaccine narratives.",pillar,reported,Community responses,medium,Censorship incidents related to vaccine discussions.,Censorship of Vaccine Dissent,U0055 | U0062,"[U0055] Within 24 hours of the film being announced, the screening which had been planned over months was canceled.
[U0062] Self-appointed community gatekeeper Owen Rowe demonstrated the epitome of the angry zealotry that Siri describes.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set D,model,completed,,Parents who choose not to vaccinate their children are often highly educated and scientifically literate.,pillar_support,endorsed,Aaron Siri,high,U0002 to U0021,Pillar 1: Vaccine Safety Concerns,U0002 | U0021,"[U0002] “According to the CDC and public health authorities, parents who choose not to vaccinate their children are typically highly educated. CDC data reflect that half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated. Why would the parents of these children, comprising a large part of the nation’s brain trust, choose not to vaccinate their children?”
[U0021] • Parents who do not vaccinate. Parents who choose to forego vaccines, he says, are not only highly educated, but “often scientifically literate. Many are medical professionals. Leading scientists.” He quotes vaccine promoter Emily Brunson, PhD, who acknowledges: “When you look at hesitancy in the U.S., the group who is most likely to purposefully choose to not vaccinate are highly educated. In speaking with them, these are people who have read the primary literature themselves, and they’re correctly interpreting it.”",,,,,,,,,,,,,,,,,
CF1-F03,1,Set D,model,completed,,The CDC has manipulated data to suppress evidence linking vaccines to autism.,pillar_support,endorsed,William Thompson,high,U0037 to U0041,Pillar 4: Historical Context of Vaccination,U0037 | U0041,"[U0037] Senior CDC scientist turned whistleblower William Thompson revealed privately in 2014 that data linking the MMR vaccine (measles/mumps/rubella) to autism had been manipulated by the agency ten years earlier.
[U0041] The fraudulent, re-worked study was then released to declare that it had proven MMR vaccines did not cause autism.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set D,model,completed,,The rise in chronic health conditions among children correlates with the increase in vaccination rates since the 1986 act.,pillar_support,endorsed,Article voice,high,U0086 to U0090,Pillar 4: Historical Context of Vaccination,U0086 | U0090,"[U0086] It was a rude awakening, especially for those of us in the Baby Boomer generation, to learn that the chronic illness rate in U.S. children which had been negligible when we were kids had jumped to 12.8% in the 1980s, then to 54% by 2011 .
[U0090] But after embarking on the world’s most aggressive vaccination program, the U.S. had twice as many first-day infant deaths as all 27 EU nations combined .",,,,,,,,,,,,,,,,,
CF1-F03,1,Set D,model,completed,,Aluminum in vaccines poses significant health risks to children.,pillar_support,endorsed,James Lyons-Weiler and Robert Ricketson,high,U0241 to U0255,Pillar 1: Vaccine Safety Concerns,U0241 | U0255,"[U0241] THE FACTS / ALUMINUM:
[U0255] Aluminum poisoning has been linked to autism, SIDs, seizures, autoimmune issues, Alzheimers, neurological damage, impaired renal function, demyelinating disorders such as MS, and cancer. [ source ]",,,,,,,,,,,,,,,,,
CF1-F03,1,Set D,model,completed,,"Thimerosal, a mercury-based preservative, is neurotoxic and poses risks to children.",pillar_support,endorsed,Gavin de Becker,high,U0300 to U0310,Pillar 1: Vaccine Safety Concerns,U0300 | U0310,"[U0300] THE FACTS / MERCURY:
[U0310] Contrary to our health department’s claim, it is highly neurotoxic — dangerous enough to cause “decreased offspring survival” as Eli Lilly was required by law to disclose in its Material Safety Data Sheet for thimerosal.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set D,model,completed,,The CDC has a history of suppressing research that questions vaccine safety.,pillar_support,endorsed,Article voice,high,U0344 to U0364,Pillar 4: Historical Context of Vaccination,U0344 | U0364,"[U0344] Instead the CDC “massaged” the data and in 2003 released a reworked, fraudulent version of the study loudly trumpeting that thimerosal did not cause autism and other neurodevelomental problems.
[U0364] The last review he cites is a meta-analysis:",,,,,,,,,,,,,,,,,
